Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
TỔ TRƯỞNG AN TOÀN SEA(Mới),Công ty TNHH Giày Apache Việt Nam,Tiền Giang,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/to-truong-an-toan-sea.35C599A6.html
Chuyên viên PR Marketing(Mới),Công Ty Cổ Phần Tập Đoàn Sunshine,Hồ Chí Minh,Lương: 20 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-pr-marketing.35C59A2F.html
Kỹ Sư Bán Hàng (Sales Engineer)(Mới),CÔNG TY TNHH THIẾT BỊ HUY HÙNG,Hồ Chí Minh,Lương: 10 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-ban-hang-sales-engineer.35C59A26.html
Chuyên viên quay dựng phim(Mới),Công ty Cổ phần Tập đoàn Gỗ Minh Long,Hà Nội,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quay-dung-phim.35C59A2E.html
Nhân viên PE- Pattern Engineer(Mới),TKG Taekwang Vina,Đồng Nai,Lương: 10 Tr - 17 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-pe-pattern-engineer.35C59A2D.html
Chuyên viên quản lý chất lượng QA/QC - Contact center - Ngành Thương mại điện tử(Mới),CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-chat-luong-qa-qc-contact-center-nganh-thuong-mai-dien-tu.35C59A28.html
Trưởng nhóm kinh doanh(Mới),Công ty CP Toshiko Việt Nam,Hà Nội,Lương: 15 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-kinh-doanh.35C59A2A.html
Quản Lý Công Nghệ Đúc Kim Loại (Vàng/ Bạc)(Mới),Headhunter HRchannels Group,Hà Nam Hà Nội Nam Định,"Lương: 2,500 - 3,500 USD",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/quan-ly-cong-nghe-duc-kim-loai-vang-bac.35C59A2B.html
Hà Đông - Nhân viên tư vấn bán hàng(Mới),Công ty CP Toshiko Việt Nam,Hà Nội,Lương: 13 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ha-dong-nhan-vien-tu-van-ban-hang.35C59A27.html
Chuyên Viên Hỗ Trợ Khách Hàng Và Quản Lý Rủi Ro Gian Lận _ Ngành Thương Mại Điện Tử(Mới),CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ho-tro-khach-hang-va-quan-ly-rui-ro-gian-lan-_-nganh-thuong-mai-dien-tu.35C59A25.html
Chuyên viên thiết kế nội thất(Mới),Công ty Cổ phần Tập đoàn Gỗ Minh Long,Hà Nội,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-thiet-ke-noi-that.35C4D852.html
Nhân Viên Vận Hành và Bảo Trì(Mới),Orioled Hub,Bà Rịa - Vũng Tàu,Lương: 13 Tr - 18 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-hanh-va-bao-tri.35C59A1E.html
"Chuyên viên kinh doanh thị trường - Nghệ An, Hà Tĩnh(Mới)",Công ty CP Toshiko Việt Nam,Nghệ An,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-thi-truong-nghe-an-ha-tinh.35C59A23.html
Chuyên viên chăm Sóc Khách Hàng và Quản Lý Rủi Ro _ Thương mại điện tử(Mới),CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cham-soc-khach-hang-va-quan-ly-rui-ro-_-thuong-mai-dien-tu.35C59A24.html
Finance Manager / Finance and Accounting Manager(Mới),NIRVANA MEMORIAL PARK - CÔNG TY TNHH CÔNG VIÊN TƯỞNG NIỆM NIẾT BÀN,Hồ Chí Minh,Lương: 45 Tr - 55 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/finance-manager-finance-and-accounting-manager.35C57F24.html
Nhân Viên Xử Lý Khiếu Nại Sàn Shopee(Mới),Công Ty TNHH Việt Mỹ-SSU,Hồ Chí Minh,Lương: 7 Tr - 9 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-xu-ly-khieu-nai-san-shopee.35C59A1F.html
Kỹ Thuật Viên(Mới),CÔNG TY TNHH KỸ THUẬT TEXSOL,Hải Dương Hải Phòng Hồ Chí Minh,Lương: 8 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-thuat-vien.35C59A1D.html
Công nhân Premix(Mới),Deheus Hải Phòng,Hải Phòng,"Lương: 6,6 Tr - 7,2 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/cong-nhan-premix.35C59A1B.html
Nhân viên Digital Marketing(Mới),CÔNG TY TNHH KỸ THUẬT CÔNG NGHỆ MÔI TRƯỜNG LONG TRƯỜNG VŨ,Hồ Chí Minh,Lương: 9 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-digital-marketing.35C59A18.html
Nhân viên bảo trì(Mới),CÔNG TY CỔ PHẦN BMP GROUP,Bình Dương,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-tri.35C59A17.html
Area Sales Manager - MT(Mới),CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯƠNG THỦY,Bình Dương,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/area-sales-manager-mt.35C599FD.html
NHÂN VIÊN KINH DOANH (NGÀNH TÔN-QUẬN 2)(Mới),Công Ty TNHH Pomaxx Việt Nam,Hồ Chí Minh,Lương: 12 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-nganh-ton-quan-2.35C599A7.html
Công nhân Premix(Mới),Công ty Proconco Hải Phòng,Hải Phòng,"Lương: 6,6 Tr - 7,2 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/cong-nhan-premix.35C59A0E.html
Internal Audit (Kiểm toán nội bộ)(Mới),CJ Foodville Việt Nam,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/internal-audit-kiem-toan-noi-bo.35C59A13.html
Nhân Viên Kỹ Thuật Điện(Mới),Tập Đoàn An Phát Holdings,Hải Dương,Lương: 12 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-dien.35C59A11.html
Documentation Staff(Mới),CÔNG TY TNHH QUẢN LÝ CHUỖI CUNG ỨNG QUỐC TẾ GIA HOA VIỆT NAM,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/documentation-staff.35C599F9.html
"Giám Sát Dự Án Hoàn Thiện - Nội Thất (dự án Hạ Long, Hà Nội, Phú Quốc, Hồ Tràm...)(Mới)",TTT Corporation,Hà Nội Quảng Ninh Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/giam-sat-du-an-hoan-thien-noi-that-du-an-ha-long-ha-noi-phu-quoc-ho-tram.35C59A05.html
"HO - Giám đốc Phát triển sản phẩm vay thế chấp, Khối Bán lẻ(Mới)",Ngân Hàng TMCP Phương Đông - OCB,Hồ Chí Minh Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ho-giam-doc-phat-trien-san-pham-vay-the-chap-khoi-ban-le.35C59A0C.html
TRƯỞNG PHÒNG NGHIÊN CỨU PHÁT TRIỂN (RD),Công ty Cổ phần Đầu tư Dừa Bến Tre,Bến Tre,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-nghien-cuu-phat-trien-rd.35C56471.html
Nhân Viên Kinh Doanh  (Điện Năng Lượng Mặt Trời) (Mới),CÔNG TY TNHH MANFUSI VIỆT NAM,Hồ Chí Minh Hà Nội,Lương: 35 Tr - 40 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-dien-nang-luong-mat-troi.35C58AF6.html
"Bác Sĩ Khám Bệnh, Chữa Bệnh Chuyên Khoa Mắt (Mới)",TẬP ĐOÀN Y TẾ VIỆT - NGA,Hà Nội,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/bac-si-kham-benh-chua-benh-chuyen-khoa-mat.35C59A06.html
Giám sát Kinh doanh (Mảng Cá Koi) (Mới),De Heus LLC,Đồng Bằng Sông Hồng,Lương: 10 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/giam-sat-kinh-doanh-mang-ca-koi.35C59843.html
TRƯỞNG PHÒNG HÀNH CHÍNH NHÂN SỰ (Mới),Công Ty Cổ Phần Tân Vĩnh Cửu (Tavico group),Đồng Nai,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-hanh-chinh-nhan-su.35C599F7.html
QA Manager (Mới),CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI SKYLINE,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/qa-manager.35C59A03.html
Sales Executive (Electronic - Chinese Speaking) - P.03 (Mới),TÜV Rheinland Vietnam,Singapore,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-executive-electronic-chinese-speaking-p-03.35C59A09.html
Project Engineer (Hưng Yên) (Mới),CÔNG TY TNHH LA VIE,Hưng Yên,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/project-engineer-hung-yen.35C59A04.html
Nhân Viên Bán Hàng Viettel Qua Kênh Điện Thoại Tân Bình Hồ Chí Minh (Mới),CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hồ Chí Minh,Lương: 8 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ban-hang-viettel-qua-kenh-dien-thoai-tan-binh-ho-chi-minh.35C5985A.html
Tổng Đài Viên Chăm Sóc Khách Hàng Viettel Quận Cẩm Lệ Đà Nẵng (Mới),CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Đà Nẵng,Lương: 6 Tr - 9 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/tong-dai-vien-cham-soc-khach-hang-viettel-quan-cam-le-da-nang.35C5985E.html
Nhân viên bảo trì điện công nghiệp (Mới),Proconco Hải Phòng,Hải Phòng,"Lương: 9,3 Tr - 11 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-tri-dien-cong-nghiep.35C599FF.html
Chuyên Viên Dịch Vụ Khách Hàng (Mới),Công Ty TNHH Thương Mại Giải Pháp Ưu Việt,Hồ Chí Minh,Lương: 12 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dich-vu-khach-hang.35C59A01.html
Kế hoạch hàng hóa (Mới),HỘ KINH DOANH MONO TALK,Hà Nội,Lương: 10 Tr - 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ke-hoach-hang-hoa.35C59A00.html
(HCM-Bình Tân) Trưởng Nhóm Kinh Doanh Ván Gỗ (Mới),Công Ty TNHH Tập Đoàn Rita Võ,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/hcm-binh-tan-truong-nhom-kinh-doanh-van-go.35C599FE.html
Sales Engineer cho công ty cung cấp vòng bi hàng đầu thế giới (Mới),Công ty TNHH AOBA Việt Nam,Hà Nội,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-engineer-cho-cong-ty-cung-cap-vong-bi-hang-dau-the-gioi.35C599F8.html
Senior Account Receivable Controller (Mới),Concung.com - Con Cung Joint Stock Company,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/senior-account-receivable-controller.35C599FB.html
Chuyên Viên Kinh Doanh/ Sale Executive [Tuyển Dụng Bổ Sung Do Mở Rộng Kinh Doanh] (Mới),CÔNG TY TNHH K O T I T I VIỆT NAM,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-sale-executive-tuyen-dung-bo-sung-do-mo-rong-kinh-doanh.35C5995A.html
Nhân viên điều phối vận tải (Mới),Công Ty TNHH Sản Xuất - Cung ứng Vật Tư Nông Nghiệp Xanh (GAPRO VIETNAM),Hồ Chí Minh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-dieu-phoi-van-tai.35C599DE.html
Nhân viên kế toán  (Làm việc tại KCN Long Hậu) (Mới),Công ty TNHH Yura Corporation Vina,Long An,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan-lam-viec-tai-kcn-long-hau.35C599F3.html
