Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Trưởng Nhóm Kho Thành Phẩm,CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ,Bắc Ninh,Lương: 10 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-kho-thanh-pham.35C515C9.html
Trưởng phòng Nhân sự - tiếng Trung,CÔNG TY TNHH ELECTRONIC TRIPOD VIỆT NAM (CHÂU ĐỨC),Bà Rịa - Vũng Tàu,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-nhan-su-tieng-trung.35C51644.html
Kế toán / Accountant,Công ty TNHH OT MOTOR VINA,Đồng Nai,Lương: 8 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ke-toan-accountant.35C51604.html
Khối NS&DVNB - Chuyên viên/CVC/CVCC Bộ phận Quan hệ lao động,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/khoi-ns-dvnb-chuyen-vien-cvc-cvcc-bo-phan-quan-he-lao-dong.35C515C8.html
[PMH - Quận 7]- Nhân Viên Bảo Vệ,Công ty TNHH Phát triển Phú Mỹ Hưng,Hồ Chí Minh,Lương: 6 Tr - 8 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/pmh-quan-7-nhan-vien-bao-ve.35C51648.html
"Kỹ thuật viên bảo hành gia dụng, điện lạnh (Level senior)",CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-thuat-vien-bao-hanh-gia-dung-dien-lanh-level-senior.35C5159D.html
[BÌNH THẠNH] PHIÊN DỊCH TIẾNG HÀN,Công Ty TNHH CJ Vina Agri,Hồ Chí Minh,Lương: 20 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/binh-thanh-phien-dich-tieng-han.35C515C1.html
HO - Chuyên Viên Pháp chế,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ho-chuyen-vien-phap-che.35C51596.html
Nhân Viên Chăm Sóc Khách Hàng Không Sale,CÔNG TY CỔ PHẦN ALTIUS LINK VIỆT NAM,Hồ Chí Minh,"Lương: 7,5 Tr - 9 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-khong-sale.35C515B5.html
Nhân viên bảo trì cơ điện nhà máy sản xuất,Công ty Cổ Phần Thảo Mộc Xanh Long An,Long An,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-bao-tri-co-dien-nha-may-san-xuat.35C51592.html
Giám sát kinh doanh - kênh GT,CÔNG TY TNHH NTPM (VIỆT NAM),Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/giam-sat-kinh-doanh-kenh-gt.35C510EE.html
Kỹ sư  Shop Drawing,Công ty Cổ Phần Lucky Steel Buildings,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-shop-drawing.35C5158D.html
QC Inspector,HR Vietnam’s ESS Client,Hồ Chí Minh Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/qc-inspector.35C515B0.html
Trưởng phòng Kế toán Tài chính,HR Vietnam’s ESS Client,Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-ke-toan-tai-chinh.35C515EE.html
Kỹ sư QC công trình (Đồng Tháp),CÔNG TY CỔ PHẦN THIẾT KẾ XÂY DỰNG THƯƠNG MẠI PHÚC THỊNH,Hồ Chí Minh Đồng Tháp,Lương: 12 Tr - 17 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-qc-cong-trinh-dong-thap.35C517D4.html
Chuyên viên Tư vấn giáo dục (Ocean Edu Sóc Sơn) - Thu nhập từ 16 triệu/tháng - Phỏng vấn đi làm ngay,Công Ty CP Giáo Dục Đại Dương,Hà Nội,Lương: Trên 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-soc-son-thu-nhap-tu-16-trieu-thang-phong-van-di-lam-ngay.35C5170C.html
Production Planner (Mechanical),Headhunter HRchannels Group,Hồ Chí Minh Bắc Ninh Bắc Giang,"Lương: 1,000 - 1,200 USD",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/production-planner-mechanical.35C515DE.html
[Hà Nội] Nhân viên Kinh doanh Khối y tế,CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ha-noi-nhan-vien-kinh-doanh-khoi-y-te.35C516E7.html
Chuyên viên Phát triển Kinh doanh  - Business Development - Khối Ngân hàng số (HO25.315),Ngân Hàng TMCP Quân Đội,Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-kinh-doanh-business-development-khoi-ngan-hang-so-ho25-315.35C515A5.html
Nhân viên Hành chính Nhân sự Tiếng Trung,CÔNG TY TNHH TOPBAND SMART ĐỒNG NAI (VIỆT NAM),Đồng Nai,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-hanh-chinh-nhan-su-tieng-trung.35C51590.html
3D Studio Max Render,Vietnam Furniture Resources (VFR),Bình Dương,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/3d-studio-max-render.35C5158F.html
Kế toán Trưởng (Làm việc tại Tây Ninh),Công ty CP Thành Thành Công - Biên Hòa,Tây Ninh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-lam-viec-tai-tay-ninh.35C51599.html
Sales Engineer/Business Development Specialist,Công ty Cổ Phần PMAC,Hồ Chí Minh Hà Nội,Lương: 10 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-engineer-business-development-specialist.35C516D4.html
Kỹ sư cấp thoát nước,CÔNG TY TNHH TƯ VẤN THIẾT KẾ KIẾN TRÚC QUY HOẠCH XÂY DỰNG THIÊN PHÚC,Hồ Chí Minh,Lương: 8 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-cap-thoat-nuoc.35C515A8.html
Tour Operation Intern (English Speaking),Công ty Easia Travel,Đà Nẵng,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/tour-operation-intern-english-speaking.35C515A0.html
Nhân Viên Văn Phòng  (Tiếng Trung),CÔNG TY TNHH TOPBAND SMART ĐỒNG NAI (VIỆT NAM),Đồng Nai,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-van-phong-tieng-trung.35C51595.html
Chuyên viên biên phiên dịch tiếng Nga,Công Ty TNHH TNI KING COFFEE,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-bien-phien-dich-tieng-nga.35C5159C.html
Phụ kho nguyên phụ liệu,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TRƯƠNG VUI,Hồ Chí Minh,Lương: 7 Tr - 11 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/phu-kho-nguyen-phu-lieu.35C51672.html
Chuyên viên Tư vấn giáo dục (Ocean Edu Vĩnh Lộc) - Thu nhập từ 15 triệu/tháng - Phỏng vấn đi làm ngay,Công Ty CP Giáo Dục Đại Dương,Thanh Hóa,Lương: 15 Tr - 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-vinh-loc-thu-nhap-tu-15-trieu-thang-phong-van-di-lam-ngay.35C516DE.html
Nhân viên Kỹ thuật khai thác,ERAS GROUP,Ninh Thuận,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-khai-thac.35C516DD.html
Nhân viên Kỹ thuật khai thác,ERAS GROUP,Ninh Thuận,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-khai-thac.35C516DD.html
Chuyên viên Tư vấn giáo dục (Ocean Edu Quảng Ngãi) - Thu nhập từ 15 triệu/tháng - Phỏng vấn đi làm ngay,Công Ty CP Giáo Dục Đại Dương,Quảng Ngãi,Lương: Trên 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-quang-ngai-thu-nhap-tu-15-trieu-thang-phong-van-di-lam-ngay.35C517BD.html
Nhân viên Lái xe,Công ty Cổ phần Tập đoàn Meey Land,Hà Nội,Lương: 10 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-lai-xe.35C517E1.html
Chuyền Phó,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TRƯƠNG VUI,Hồ Chí Minh,"Lương: 7,2 Tr - 14 Tr VND",N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-pho.35C5164D.html
Chuyên viên Tư vấn giáo dục (Ocean Edu Tam Dương) - Thu nhập từ 16 triệu/tháng - Phỏng vấn đi làm ngay,Công Ty CP Giáo Dục Đại Dương,Vĩnh Phúc,Lương: Trên 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-tam-duong-thu-nhap-tu-16-trieu-thang-phong-van-di-lam-ngay.35C517C0.html
Chuyên viên Tư vấn giáo dục (Ocean Edu Xuân Hòa) - Thu nhập từ 16 triệu/tháng - Phỏng vấn đi làm ngay,Công Ty CP Giáo Dục Đại Dương,Vĩnh Phúc,Lương: Trên 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-xuan-hoa-thu-nhap-tu-16-trieu-thang-phong-van-di-lam-ngay.35C516F5.html
Nhân viên Hồ Sơ Thầu,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DƯỢC PHẨM TÂN THÀNH,Hà Nội,Lương: 15 Tr - 20 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ho-so-thau.35C5164E.html
Nhân viên kế toán,CÔNG TY TNHH TRỐNG ĐỒNG VIỆT NAM,Hà Nội,Lương: 10 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-toan.35C5159F.html
NHÂN VIÊN MEDIA ( QUAY- DỰNG),Công ty TNHH JM,Hồ Chí Minh,Lương: 11 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-media-quay-dung.35C517D3.html
International Sales Executive,HR Vietnam’s ESS Client,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/international-sales-executive.35C515A3.html
Trưởng phòng Kinh doah,CÔNG TY TNHH TRỐNG ĐỒNG VIỆT NAM,Thái Nguyên,Lương: 15 Tr - 17 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doah.35C515A4.html
Kỹ Sư QS Cơ Điện -  MEP,Công TY TNHH Xây Dựng Cơ Điện Trí Trung,Ninh Thuận,Lương: 17 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-qs-co-dien-mep.35C55489.html
Trưởng Phòng Môi Giới/ Trưởng Phòng Tư Vấn Đầu Tư,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-moi-gioi-truong-phong-tu-van-dau-tu.35C55486.html
Nhân viên Content Marketing (Sử dụng thành thạo tiếng Anh),CÔNG TY TRÁCH NHIỆM HỮU HẠN TƯ VẤN VÀ ĐẦU TƯ Y TẾ QUỐC TẾ,Hà Nội,Lương: 10 Tr - 14 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-content-marketing-su-dung-thanh-thao-tieng-anh.35C516D9.html
Chuyên viên viên Môi giới chứng khoán/ Tư vấn đầu tư,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-vien-moi-gioi-chung-khoan-tu-van-dau-tu.35C55487.html
Chuyên Viên/ Chuyên Viên Cao Cấp Pháp Chế & Tuân Thủ,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chuyen-vien-cao-cap-phap-che-tuan-thu.35C55482.html
Nhân Viên Kinh Doanh Tại Quận 8,CÔNG TY CỔ PHẦN CASHION,Hồ Chí Minh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-quan-8.35C5545F.html
Chuyên viên Quản lý Quy trình Kinh doanh (Business Process Manager),CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-quy-trinh-kinh-doanh-business-process-manager.35C55484.html
Trình Dược Viên ETC,CÔNG TY TNHH DƯỢC PHẨM SUN RISE,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/trinh-duoc-vien-etc.35C55483.html
Nhân Viên Kinh Doanh Tại Hội Nghĩa,CÔNG TY CỔ PHẦN CASHION,Bình Dương,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-hoi-nghia.35C5545B.html
Nhân Viên Kinh Doanh Tại Bình Thạnh,CÔNG TY CỔ PHẦN CASHION,Hồ Chí Minh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-binh-thanh.35C5545E.html
Nhân Viên Kinh Doanh Tại Tân Phú,CÔNG TY CỔ PHẦN CASHION,Hồ Chí Minh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-tan-phu.35C5545D.html
Nhân Viên Kinh Doanh Tại Dĩ An,CÔNG TY CỔ PHẦN CASHION,Bình Dương,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-di-an.35C55459.html
Chuyên viên Chính Content Marketing,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-content-marketing.35C5547A.html
Nhân Viên Kinh Doanh Tại Ba Đình,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-ba-dinh.35C55454.html
Nhân viên QAQC,Bảo mật,Bình Thuận,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-qaqc.35C55475.html
Quản lý cửa hàng (Thời Trang Nam),CÔNG TY TNHH THỜI TRANG GB GIA BẢO - NHÃN HÀNG THỜI TRANG NAM ATINO,Nam Định Ninh Bình Hải Phòng,Lương: 18 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/quan-ly-cua-hang-thoi-trang-nam.35C55432.html
Nhân Viên Kinh Doanh Tại Hà Đông,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-ha-dong.35C55456.html
CHUYÊN VIÊN KHÁCH HÀNG CÁ NHÂN - HÀ NỘI,Ngân Hàng TMCP Sài Gòn Thương Tín (Sacombank),Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-khach-hang-ca-nhan-ha-noi.35C55434.html
Nhân Viên Kinh Doanh Tại Hai Bà Trưng,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-hai-ba-trung.35C55455.html
Nhân viên kinh doanh dự án (Lò hơi -boiler),CÔNG TY TNHH THIẾT BỊ CÔNG NGHIỆP HẢI ÂU VIỆT,Hồ Chí Minh,Lương: 9 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-du-an-lo-hoi-boiler.35C55471.html
Nhân Viên Kinh Doanh Tại Cầu Giấy,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-cau-giay.35C55450.html
Nhân Viên Kinh Doanh Tại Bến Cát,CÔNG TY CỔ PHẦN CASHION,Bình Dương,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-ben-cat.35C5544F.html
Nhân Viên Kinh Doanh Tại Đống Đa,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-dong-da.35C55452.html
Nhân Viên Kinh Doanh Tại Long Biên,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-long-bien.35C55451.html
Nhân Viên Kinh Doanh Tại Tây Ninh,CÔNG TY CỔ PHẦN CASHION,Tây Ninh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-tay-ninh.35C5544C.html
Kế toán trưởng,Công ty Cổ phần đầu tư phát triển máy Việt Nam,Hà Nội,Lương: 20 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong.35C5544B.html
Kỹ thuật viên vận hành máy kiêm bảo trì,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN FRAMIS VIỆT NAM TẠI ĐỒNG NAI,Đồng Nai,Lương: 12 Tr - 16 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-thuat-vien-van-hanh-may-kiem-bao-tri.35C55476.html
CHUYÊN VIÊN DỊCH VỤ KHÁCH HÀNG - HÀ NỘI,Ngân Hàng TMCP Sài Gòn Thương Tín (Sacombank),Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-dich-vu-khach-hang-ha-noi.35C55447.html
Nhân Viên Kinh Doanh Tại Tân Uyên,CÔNG TY CỔ PHẦN CASHION,Bình Dương,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-tan-uyen.35C5545A.html
Nhân Viên Kinh Doanh,CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT THƯƠNG MẠI XÂY DỰNG CƠ KHÍ VIỆT MINH LONG,Bình Dương,Lương: Trên 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35C55481.html
Nhân Viên Kinh Doanh Tại Thuận An,CÔNG TY CỔ PHẦN CASHION,Bình Dương,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-thuan-an.35C5544E.html
Nhân Viên Kinh Doanh Tại Hoàng Mai,CÔNG TY CỔ PHẦN CASHION,Hà Nội,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-hoang-mai.35C55453.html
CHUYÊN VIÊN KHÁCH HÀNG DOANH NGHIỆP - HÀ NỘI,Ngân Hàng TMCP Sài Gòn Thương Tín (Sacombank),Hà Nội,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-khach-hang-doanh-nghiep-ha-noi.35C55446.html
Nhân Viên Kinh Doanh Tại Thủ Dầu Một,CÔNG TY CỔ PHẦN CASHION,Bình Dương,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-thu-dau-mot.35C5544D.html
Trợ lý thống kê phòng Chăm sóc khách hàng,Công Ty Cổ Phần A25 Hotel,Hà Nội,Lương: 14 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/tro-ly-thong-ke-phong-cham-soc-khach-hang.35C55473.html
CHUYÊN VIÊN KHÁCH HÀNG DOANH NGHIỆP - TP. HỒ CHÍ MINH,Ngân Hàng TMCP Sài Gòn Thương Tín (Sacombank),Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-khach-hang-doanh-nghiep-tp-ho-chi-minh.35C55449.html
Nhân Viên Kinh Doanh Tại Thủ Đức,CÔNG TY CỔ PHẦN CASHION,Hồ Chí Minh,Lương: 10 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-tai-thu-duc.35C5545C.html
"Chuyên viên Triển khai và Vận hành hệ thống CRM, SCM",Công ty Cổ phần Tập đoàn Hoa Sen,Hồ Chí Minh,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-trien-khai-va-van-hanh-he-thong-crm-scm.35C573E5.html
Accountant (Kế Toán Viên - Mảng Quản lý BĐS),Savills Vietnam,Hồ Chí Minh Đồng Nai,Lương: Cạnh Tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/accountant-ke-toan-vien-mang-quan-ly-bds.35C57BA3.html
"Commercial Executive & Product Training (District 1, HCMC) (Mới)",Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/commercial-executive-product-training-district-1-hcmc.35C59679.html
"Commercial Executive & Product Training (District 1, HCMC) (Mới)",Techtronic Industries Vietnam Manufacturing Company Limited,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/commercial-executive-product-training-district-1-hcmc.35C59679.html
Nhân Viên Quay Dựng (Editor) (Mới),CÔNG TY TNHH HAPPY CORP,Hồ Chí Minh,Lương: 12 Tr - 15 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quay-dung-editor.35C597C3.html
Chuyên viên Hỗ trợ vận hành hệ thống Oracle EBS,Công ty Cổ phần Tập đoàn Hoa Sen,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ho-tro-van-hanh-he-thong-oracle-ebs.35C573E4.html
Trưởng nhóm Social Media,CÔNG TY CỔ PHẦN THE STREET,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-social-media.35C56408.html
phát triển sản phẩm mới(tiếng Trung) (Mới),CÔNG TY TNHH QISDA VIỆT NAM,Hà Nam,Lương: 10 Tr - 18 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/phat-trien-san-pham-moi-tieng-trung.35C59731.html
Key Account Management,Công ty CP Dịch vụ Thương mại Điện tử N&H,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/key-account-management.35C504FE.html
TRƯỞNG PHÒNG KINH DOANH (Mới),CÔNG TY CỔ PHẦN THÔNG GIÓ CÔNG NGHIỆP BREEZE,Hà Nội,Lương: 20 Tr - 25 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doanh.35C59730.html
Sales Manager B2B,Công ty Cổ Phần Công nghiệp In & Bao Bì Khang,Hồ Chí Minh,Lương: 25 Tr - 30 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-manager-b2b.35C52EBC.html
CHUYÊN VIÊN PHÂN TÍCH TÀI CHÍNH,CÔNG TY CỔ PHẦN ĐẠI THUẬN,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-tai-chinh.35C561E0.html
Digital Marketing (Mới),Công Ty TNHH Tư Vấn Kỹ Thuật Và Tin Học Thương Mại Viet C.A.D,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/digital-marketing.35C59709.html
Bulk Execution Executive (North) (Mới),LDC Vietnam,Hà Nội,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/bulk-execution-executive-north.35C59801.html
Thực Tập Sinh Nhân Sự - Truyền Thông Nội Bộ,CareerViet,Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/thuc-tap-sinh-nhan-su-truyen-thong-noi-bo.35C58885.html
Quản lý Ca - McDonald's khu vực Nha Trang/Đà Nẵng,Công Ty Cổ Phần Good Day Hospitality (McDonald's Vietnam),Khánh Hòa Đà Nẵng,Lương: 8 Tr - 12 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/quan-ly-ca-mcdonald-s-khu-vuc-nha-trang-da-nang.35C50801.html
kỹ sư khuôn nhựa (tiếng Trung) (Mới),CÔNG TY TNHH QISDA VIỆT NAM,Hà Nam,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/ky-su-khuon-nhua-tieng-trung.35C5972D.html
Sales Supervisor Horeca (Mới),INDOGUNA VINA FOOD SERVICE (INDV),Hồ Chí Minh,Lương: Cạnh tranh,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/sales-supervisor-horeca.35C59790.html
EMPLOYEE ENGAGEMENT STAFF (Nhân viên quan hệ lao động) (Mới),Công Ty TNHH Bodynits Tiền Giang,Tiền Giang Hồ Chí Minh,Lương: 12 Tr - 18 Tr VND,N/A,N/A,https://careerviet.vn/vi/tim-viec-lam/employee-engagement-staff-nhan-vien-quan-he-lao-dong.35C597E3.html
