Tên công việc,Tên công ty,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
Accountant / Nhân Viên Kế Toán,"Nexon Networks Vina Co. Ltd,",Không xác định,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/accountant-nhan-vien-ke-toan--1958553-jv
Junior Associate,Dezan Shira & Cộng Sự Việt Nam,Không xác định,Thỏa thuận,2025-09-05,2025-10-05,https://www.vietnamworks.com/junior-associate--1954328-jv
[Tuyển Gấp] Phó Trưởng Phòng Kế Toán,Công Ty Cổ Phần Kinh Doanh Thương Mại Và Dịch Vụ Trường Thịnh,Không xác định,Từ 20.000.000 VND,2025-09-26,2025-10-26,https://www.vietnamworks.com/tuyen-gap-pho-truong-phong-ke-toan--1962897-jv
Chuyên Viên Kế Toán Quản Trị,Công Ty Cổ Phần Bột Giặt Lix,Không xác định,Thỏa thuận,2025-09-26,2025-10-26,https://www.vietnamworks.com/chuyen-vien-ke-toan-quan-tri-1962840-jv
Kế Toán,Công Ty Cổ Phần Sông Đà Cao Cường,Không xác định,Thỏa thuận,2025-09-12,2025-10-12,https://www.vietnamworks.com/ke-toan-1957169-jv
Nhân Viên Mua Hàng (Upto 20Tr),CÔNG TY CỔ PHẦN BIOMICS VIỆT NAM,Không xác định,Lên đến 20.000.000 VND,2025-09-19,2025-10-19,https://www.vietnamworks.com/nhan-vien-mua-hang-upto-20tr-1960063-jv
Chuyên Viên Kế Toán Tổng Hợp,Công Ty Cổ Phần Bảo Hiểm Opes,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-tong-hop--1954216-jv
Kế Toán Bán Hàng,Công Ty Nhôm Maxpro.jp – Japan Aluminium,Không xác định,7.500.000 - 9.000.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ke-toan-ban-hang--1959741-jv
Chuyên Viên Kế Toán Kho,BIM Group Quảng Ninh,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-kho-1954110-jv
Leader HCNS kiêm Kế Toán,CÔNG TY TNHH SẢN PHẨM SHOFU VIỆT NAM,Không xác định,16.000.000 - 19.000.000 VND,2025-09-04,2025-10-04,https://www.vietnamworks.com/leader-hcns-kiem-ke-toan-1954087-jv
Accountant / Nhân Viên Kế Toán,"Nexon Networks Vina Co. Ltd,",Không xác định,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/accountant-nhan-vien-ke-toan--1958553-jv
Junior Associate,Dezan Shira & Cộng Sự Việt Nam,Không xác định,Thỏa thuận,2025-09-05,2025-10-05,https://www.vietnamworks.com/junior-associate--1954328-jv
[Tuyển Gấp] Phó Trưởng Phòng Kế Toán,Công Ty Cổ Phần Kinh Doanh Thương Mại Và Dịch Vụ Trường Thịnh,Không xác định,Từ 20.000.000 VND,2025-09-26,2025-10-26,https://www.vietnamworks.com/tuyen-gap-pho-truong-phong-ke-toan--1962897-jv
Chuyên Viên Kế Toán Quản Trị,Công Ty Cổ Phần Bột Giặt Lix,Không xác định,Thỏa thuận,2025-09-26,2025-10-26,https://www.vietnamworks.com/chuyen-vien-ke-toan-quan-tri-1962840-jv
Kế Toán,Công Ty Cổ Phần Sông Đà Cao Cường,Không xác định,Thỏa thuận,2025-09-12,2025-10-12,https://www.vietnamworks.com/ke-toan-1957169-jv
Nhân Viên Mua Hàng (Upto 20Tr),CÔNG TY CỔ PHẦN BIOMICS VIỆT NAM,Không xác định,Lên đến 20.000.000 VND,2025-09-19,2025-10-19,https://www.vietnamworks.com/nhan-vien-mua-hang-upto-20tr-1960063-jv
Chuyên Viên Kế Toán Tổng Hợp,Công Ty Cổ Phần Bảo Hiểm Opes,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-tong-hop--1954216-jv
Kế Toán Bán Hàng,Công Ty Nhôm Maxpro.jp – Japan Aluminium,Không xác định,7.500.000 - 9.000.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ke-toan-ban-hang--1959741-jv
Chuyên Viên Kế Toán Kho,BIM Group Quảng Ninh,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-kho-1954110-jv
Leader HCNS kiêm Kế Toán,CÔNG TY TNHH SẢN PHẨM SHOFU VIỆT NAM,Không xác định,16.000.000 - 19.000.000 VND,2025-09-04,2025-10-04,https://www.vietnamworks.com/leader-hcns-kiem-ke-toan-1954087-jv
Accountant / Nhân Viên Kế Toán,"Nexon Networks Vina Co. Ltd,",Không xác định,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/accountant-nhan-vien-ke-toan--1958553-jv
Junior Associate,Dezan Shira & Cộng Sự Việt Nam,Không xác định,Thỏa thuận,2025-09-05,2025-10-05,https://www.vietnamworks.com/junior-associate--1954328-jv
[Tuyển Gấp] Phó Trưởng Phòng Kế Toán,Công Ty Cổ Phần Kinh Doanh Thương Mại Và Dịch Vụ Trường Thịnh,Không xác định,Từ 20.000.000 VND,2025-09-26,2025-10-26,https://www.vietnamworks.com/tuyen-gap-pho-truong-phong-ke-toan--1962897-jv
Chuyên Viên Kế Toán Quản Trị,Công Ty Cổ Phần Bột Giặt Lix,Không xác định,Thỏa thuận,2025-09-26,2025-10-26,https://www.vietnamworks.com/chuyen-vien-ke-toan-quan-tri-1962840-jv
Kế Toán,Công Ty Cổ Phần Sông Đà Cao Cường,Không xác định,Thỏa thuận,2025-09-12,2025-10-12,https://www.vietnamworks.com/ke-toan-1957169-jv
Nhân Viên Mua Hàng (Upto 20Tr),CÔNG TY CỔ PHẦN BIOMICS VIỆT NAM,Không xác định,Lên đến 20.000.000 VND,2025-09-19,2025-10-19,https://www.vietnamworks.com/nhan-vien-mua-hang-upto-20tr-1960063-jv
Chuyên Viên Kế Toán Tổng Hợp,Công Ty Cổ Phần Bảo Hiểm Opes,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-tong-hop--1954216-jv
Kế Toán Bán Hàng,Công Ty Nhôm Maxpro.jp – Japan Aluminium,Không xác định,7.500.000 - 9.000.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ke-toan-ban-hang--1959741-jv
Chuyên Viên Kế Toán Kho,BIM Group Quảng Ninh,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-kho-1954110-jv
Leader HCNS kiêm Kế Toán,CÔNG TY TNHH SẢN PHẨM SHOFU VIỆT NAM,Không xác định,16.000.000 - 19.000.000 VND,2025-09-04,2025-10-04,https://www.vietnamworks.com/leader-hcns-kiem-ke-toan-1954087-jv
Accountant / Nhân Viên Kế Toán,"Nexon Networks Vina Co. Ltd,",Không xác định,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/accountant-nhan-vien-ke-toan--1958553-jv
Junior Associate,Dezan Shira & Cộng Sự Việt Nam,Không xác định,Thỏa thuận,2025-09-05,2025-10-05,https://www.vietnamworks.com/junior-associate--1954328-jv
[Tuyển Gấp] Phó Trưởng Phòng Kế Toán,Công Ty Cổ Phần Kinh Doanh Thương Mại Và Dịch Vụ Trường Thịnh,Không xác định,Từ 20.000.000 VND,2025-09-26,2025-10-26,https://www.vietnamworks.com/tuyen-gap-pho-truong-phong-ke-toan--1962897-jv
Chuyên Viên Kế Toán Quản Trị,Công Ty Cổ Phần Bột Giặt Lix,Không xác định,Thỏa thuận,2025-09-26,2025-10-26,https://www.vietnamworks.com/chuyen-vien-ke-toan-quan-tri-1962840-jv
Kế Toán,Công Ty Cổ Phần Sông Đà Cao Cường,Không xác định,Thỏa thuận,2025-09-12,2025-10-12,https://www.vietnamworks.com/ke-toan-1957169-jv
Nhân Viên Mua Hàng (Upto 20Tr),CÔNG TY CỔ PHẦN BIOMICS VIỆT NAM,Không xác định,Lên đến 20.000.000 VND,2025-09-19,2025-10-19,https://www.vietnamworks.com/nhan-vien-mua-hang-upto-20tr-1960063-jv
Chuyên Viên Kế Toán Tổng Hợp,Công Ty Cổ Phần Bảo Hiểm Opes,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-tong-hop--1954216-jv
Kế Toán Bán Hàng,Công Ty Nhôm Maxpro.jp – Japan Aluminium,Không xác định,7.500.000 - 9.000.000 VND,2025-09-18,2025-10-18,https://www.vietnamworks.com/ke-toan-ban-hang--1959741-jv
Chuyên Viên Kế Toán Kho,BIM Group Quảng Ninh,Không xác định,Thỏa thuận,2025-09-04,2025-10-04,https://www.vietnamworks.com/chuyen-vien-ke-toan-kho-1954110-jv
Leader HCNS kiêm Kế Toán,CÔNG TY TNHH SẢN PHẨM SHOFU VIỆT NAM,Không xác định,16.000.000 - 19.000.000 VND,2025-09-04,2025-10-04,https://www.vietnamworks.com/leader-hcns-kiem-ke-toan-1954087-jv
Accountant / Nhân Viên Kế Toán,"Nexon Networks Vina Co. Ltd,",Không xác định,Thỏa thuận,2025-09-16,2025-10-16,https://www.vietnamworks.com/accountant-nhan-vien-ke-toan--1958553-jv
Junior Associate,Dezan Shira & Cộng Sự Việt Nam,Không xác định,Thỏa thuận,2025-09-05,2025-10-05,https://www.vietnamworks.com/junior-associate--1954328-jv
