ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5A72A,Nhân viên Kinh doanh Thực phẩm (Mới),CÔNG TY CỔ PHẦN THỰC PHẨM FUJI,Hà Nội Hồ Chí Minh,Lương: Trên 18 Tr VND,07-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-thuc-pham.35C5A72A.html
35C5A72A,Nhân viên Kinh doanh Thực phẩm (Mới),CÔNG TY CỔ PHẦN THỰC PHẨM FUJI,Hà Nội Hồ Chí Minh,Lương: Trên 18 Tr VND,07-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-thuc-pham.35C5A72A.html
35C5A729,Trợ Lý Giám Đốc Điều Hành (Mới),Công Ty CP Tập Đoàn Hamier Việt Nam - LG CLINIC,Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,07-10-2025,07-11-2025,https://careerviet.vn/vi/tim-viec-lam/tro-ly-giam-doc-dieu-hanh.35C5A729.html
35C5A727,Trưởng Phòng Thiết Kế Nội Thất Cao Cấp (Mới),CÔNG TY CP Tập Đoàn Hamier Việt Nam - LG CLINIC,Hồ Chí Minh,Lương: Cạnh tranh,07-10-2025,07-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-thiet-ke-noi-that-cao-cap.35C5A727.html
35C5A726,Trưởng phòng Thiết kế nội thất (Mới),Công ty TNHH Thiết kế nội thất & Xây dựng SIO,Hồ Chí Minh,Lương: Cạnh tranh,07-10-2025,22-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-thiet-ke-noi-that.35C5A726.html
35C5A724,Supply Chain Management Finance Executive (AR) (Mới),S.F. EXPRESS LTD.,Hồ Chí Minh,Lương: 18 Tr - 20 Tr VND,07-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/supply-chain-management-finance-executive-ar.35C5A724.html
35C5A722,[LONG AN] QC NGUYÊN LIỆU (Mới),Công Ty Cổ Phần Y&B,Long An Hồ Chí Minh,Lương: Cạnh tranh,07-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/long-an-qc-nguyen-lieu.35C5A722.html
35C5A723,Tester (QC/SQA) (Mới),Concung.com - Con Cung Joint Stock Company,Hồ Chí Minh,Lương: Cạnh tranh,07-10-2025,07-11-2025,https://careerviet.vn/vi/tim-viec-lam/tester-qc-sqa.35C5A723.html
35C5A720,[LONG AN] QC HÓA LÝ (Mới),Công Ty Cổ Phần Y&B,Long An Hồ Chí Minh,Lương: Cạnh tranh,07-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/long-an-qc-hoa-ly.35C5A720.html
35C5A71F,Blue Team Engineer (Mới),Concung.com - Con Cung Joint Stock Company,Hồ Chí Minh,Lương: Cạnh tranh,07-10-2025,07-11-2025,https://careerviet.vn/vi/tim-viec-lam/blue-team-engineer.35C5A71F.html
35C586BC,Nhân viên Kinh doanh Thị trường khu vực HCM (không cần kinh nghiệm),Công Ty TNHH Công Nghệ Toàn Cầu Wook Việt Nam,Hồ Chí Minh,Lương: 8 Tr - 12 Tr VND,07-10-2025,25-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-thi-truong-khu-vuc-hcm-khong-can-kinh-nghiem.35C586BC.html
35C5A71A,Chuyên viên/Chuyên viên Cao cấp Công nghệ mô hình (AI/ML Ops) - Machine Learning Operations (AI/ML Ops) - Khối Dữ liệu (HO25.433) (Mới),Ngân Hàng TMCP Quân Đội,Hà Nội,Lương: Cạnh tranh,07-10-2025,07-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chuyen-vien-cao-cap-cong-nghe-mo-hinh-ai-ml-ops-machine-learning-operations-ai-ml-ops-khoi-du-lieu-ho25-433.35C5A71A.html
