Tên công việc,Tên công ty,Nơi làm việc,Địa chỉ cụ thể,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
Senior A&P Executive Trade & Event,Vietsin Commercial Complex Development JSC,Hồ Chí Minh,"1058, Nguyễn Văn Linh, KPI, Phường Tân Phong, Quận 7, TP. HCM",Nhân viên,700 - 1.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-a-p-executive-trade-event--1963597-jv
Phiên Dịch Tiếng Hàn (Làm Việc Tại Hải Phòng),Halla Electronics Vina,Hải Phòng,"Lô L4 KCN Tràng Duệ, Hồng Phong, An Dương, Hải Phòng",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/phien-dich-tieng-han-lam-viec-tai-hai-phong-1963543-jv
Kỹ Sư Đảm Bảo Chất Lượng Phần Mềm,Công ty cổ phần dịch vụ công nghệ Beam,Hà Nội,"19 Ngõ 59, Thành Công, Đống Đa, Hanoi, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-djam-bao-chat-luong-phan-mem-1963547-jv
"Senior Content Marketing (B2B, APAC)",SmartOSC,Hà Nội,"18th floor, Handico Tower, Pham Hung street, Me Tri Ha ward, Nam Tu Liem district, Hanoi, Vietnam",Nhân viên,1.000 - 1.300 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-content-marketing-b2b-apac-1963593-jv
Quản Lý Kinh Doanh Kênh Thương Mại Điện Tử,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/quan-ly-kinh-doanh-kenh-thuong-mai-djien-tu-1963494-jv
Trưởng Bộ Phận Bản Mạch,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-ban-mach-1963592-jv
Trưởng Bộ Phận Chất Lượng,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-chat-luong-1963589-jv
Sales Dược / Thiết Bị Y Tế,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,10.000.000 - 15.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-duoc-thiet-bi-y-te-1963513-jv
Kỹ Sư Gia Công Cơ Khí,Công Ty Cổ Phần Xây Dựng Hợp Lực,Hà Nội,"Hà Nội, Việt Nam",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-gia-cong-co-khi--1948999-jv
Nhân Viên IT - Phần Cứng (Hệ Thống Thông Tin và Mạng Máy Tính),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/nhan-vien-it-phan-cung-he-thong-thong-tin-va-mang-may-tinh--1963512-jv
Senior A&P Executive Trade & Event,Vietsin Commercial Complex Development JSC,Hồ Chí Minh,"1058, Nguyễn Văn Linh, KPI, Phường Tân Phong, Quận 7, TP. HCM",Nhân viên,700 - 1.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-a-p-executive-trade-event--1963597-jv
Phiên Dịch Tiếng Hàn (Làm Việc Tại Hải Phòng),Halla Electronics Vina,Hải Phòng,"Lô L4 KCN Tràng Duệ, Hồng Phong, An Dương, Hải Phòng",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/phien-dich-tieng-han-lam-viec-tai-hai-phong-1963543-jv
Kỹ Sư Đảm Bảo Chất Lượng Phần Mềm,Công ty cổ phần dịch vụ công nghệ Beam,Hà Nội,"19 Ngõ 59, Thành Công, Đống Đa, Hanoi, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-djam-bao-chat-luong-phan-mem-1963547-jv
"Senior Content Marketing (B2B, APAC)",SmartOSC,Hà Nội,"18th floor, Handico Tower, Pham Hung street, Me Tri Ha ward, Nam Tu Liem district, Hanoi, Vietnam",Nhân viên,1.000 - 1.300 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-content-marketing-b2b-apac-1963593-jv
Quản Lý Kinh Doanh Kênh Thương Mại Điện Tử,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/quan-ly-kinh-doanh-kenh-thuong-mai-djien-tu-1963494-jv
Trưởng Bộ Phận Bản Mạch,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-ban-mach-1963592-jv
Trưởng Bộ Phận Chất Lượng,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-chat-luong-1963589-jv
Sales Dược / Thiết Bị Y Tế,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,10.000.000 - 15.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-duoc-thiet-bi-y-te-1963513-jv
Kỹ Sư Gia Công Cơ Khí,Công Ty Cổ Phần Xây Dựng Hợp Lực,Hà Nội,"Hà Nội, Việt Nam",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-gia-cong-co-khi--1948999-jv
Nhân Viên IT - Phần Cứng (Hệ Thống Thông Tin và Mạng Máy Tính),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/nhan-vien-it-phan-cung-he-thong-thong-tin-va-mang-may-tinh--1963512-jv
Senior A&P Executive Trade & Event,Vietsin Commercial Complex Development JSC,Hồ Chí Minh,"1058, Nguyễn Văn Linh, KPI, Phường Tân Phong, Quận 7, TP. HCM",Nhân viên,700 - 1.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-a-p-executive-trade-event--1963597-jv
Phiên Dịch Tiếng Hàn (Làm Việc Tại Hải Phòng),Halla Electronics Vina,Hải Phòng,"Lô L4 KCN Tràng Duệ, Hồng Phong, An Dương, Hải Phòng",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/phien-dich-tieng-han-lam-viec-tai-hai-phong-1963543-jv
Kỹ Sư Đảm Bảo Chất Lượng Phần Mềm,Công ty cổ phần dịch vụ công nghệ Beam,Hà Nội,"19 Ngõ 59, Thành Công, Đống Đa, Hanoi, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-djam-bao-chat-luong-phan-mem-1963547-jv
"Senior Content Marketing (B2B, APAC)",SmartOSC,Hà Nội,"18th floor, Handico Tower, Pham Hung street, Me Tri Ha ward, Nam Tu Liem district, Hanoi, Vietnam",Nhân viên,1.000 - 1.300 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-content-marketing-b2b-apac-1963593-jv
Quản Lý Kinh Doanh Kênh Thương Mại Điện Tử,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/quan-ly-kinh-doanh-kenh-thuong-mai-djien-tu-1963494-jv
Trưởng Bộ Phận Bản Mạch,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-ban-mach-1963592-jv
Trưởng Bộ Phận Chất Lượng,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-chat-luong-1963589-jv
Sales Dược / Thiết Bị Y Tế,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,10.000.000 - 15.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-duoc-thiet-bi-y-te-1963513-jv
Kỹ Sư Gia Công Cơ Khí,Công Ty Cổ Phần Xây Dựng Hợp Lực,Hà Nội,"Hà Nội, Việt Nam",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-gia-cong-co-khi--1948999-jv
Nhân Viên IT - Phần Cứng (Hệ Thống Thông Tin và Mạng Máy Tính),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/nhan-vien-it-phan-cung-he-thong-thong-tin-va-mang-may-tinh--1963512-jv
Senior A&P Executive Trade & Event,Vietsin Commercial Complex Development JSC,Hồ Chí Minh,"1058, Nguyễn Văn Linh, KPI, Phường Tân Phong, Quận 7, TP. HCM",Nhân viên,700 - 1.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-a-p-executive-trade-event--1963597-jv
Phiên Dịch Tiếng Hàn (Làm Việc Tại Hải Phòng),Halla Electronics Vina,Hải Phòng,"Lô L4 KCN Tràng Duệ, Hồng Phong, An Dương, Hải Phòng",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/phien-dich-tieng-han-lam-viec-tai-hai-phong-1963543-jv
Kỹ Sư Đảm Bảo Chất Lượng Phần Mềm,Công ty cổ phần dịch vụ công nghệ Beam,Hà Nội,"19 Ngõ 59, Thành Công, Đống Đa, Hanoi, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-djam-bao-chat-luong-phan-mem-1963547-jv
"Senior Content Marketing (B2B, APAC)",SmartOSC,Hà Nội,"18th floor, Handico Tower, Pham Hung street, Me Tri Ha ward, Nam Tu Liem district, Hanoi, Vietnam",Nhân viên,1.000 - 1.300 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-content-marketing-b2b-apac-1963593-jv
Quản Lý Kinh Doanh Kênh Thương Mại Điện Tử,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/quan-ly-kinh-doanh-kenh-thuong-mai-djien-tu-1963494-jv
Trưởng Bộ Phận Bản Mạch,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-ban-mach-1963592-jv
Trưởng Bộ Phận Chất Lượng,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-chat-luong-1963589-jv
Sales Dược / Thiết Bị Y Tế,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,10.000.000 - 15.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-duoc-thiet-bi-y-te-1963513-jv
Kỹ Sư Gia Công Cơ Khí,Công Ty Cổ Phần Xây Dựng Hợp Lực,Hà Nội,"Hà Nội, Việt Nam",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-gia-cong-co-khi--1948999-jv
Nhân Viên IT - Phần Cứng (Hệ Thống Thông Tin và Mạng Máy Tính),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/nhan-vien-it-phan-cung-he-thong-thong-tin-va-mang-may-tinh--1963512-jv
Senior A&P Executive Trade & Event,Vietsin Commercial Complex Development JSC,Hồ Chí Minh,"1058, Nguyễn Văn Linh, KPI, Phường Tân Phong, Quận 7, TP. HCM",Nhân viên,700 - 1.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-a-p-executive-trade-event--1963597-jv
Phiên Dịch Tiếng Hàn (Làm Việc Tại Hải Phòng),Halla Electronics Vina,Hải Phòng,"Lô L4 KCN Tràng Duệ, Hồng Phong, An Dương, Hải Phòng",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/phien-dich-tieng-han-lam-viec-tai-hai-phong-1963543-jv
Kỹ Sư Đảm Bảo Chất Lượng Phần Mềm,Công ty cổ phần dịch vụ công nghệ Beam,Hà Nội,"19 Ngõ 59, Thành Công, Đống Đa, Hanoi, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-djam-bao-chat-luong-phan-mem-1963547-jv
"Senior Content Marketing (B2B, APAC)",SmartOSC,Hà Nội,"18th floor, Handico Tower, Pham Hung street, Me Tri Ha ward, Nam Tu Liem district, Hanoi, Vietnam",Nhân viên,1.000 - 1.300 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-content-marketing-b2b-apac-1963593-jv
Quản Lý Kinh Doanh Kênh Thương Mại Điện Tử,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/quan-ly-kinh-doanh-kenh-thuong-mai-djien-tu-1963494-jv
Trưởng Bộ Phận Bản Mạch,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-ban-mach-1963592-jv
Trưởng Bộ Phận Chất Lượng,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-chat-luong-1963589-jv
Sales Dược / Thiết Bị Y Tế,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,10.000.000 - 15.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-duoc-thiet-bi-y-te-1963513-jv
Kỹ Sư Gia Công Cơ Khí,Công Ty Cổ Phần Xây Dựng Hợp Lực,Hà Nội,"Hà Nội, Việt Nam",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-gia-cong-co-khi--1948999-jv
Nhân Viên IT - Phần Cứng (Hệ Thống Thông Tin và Mạng Máy Tính),"Hamaden Vietnam CO., LTD","Hải Dương, Hà Nội, Hưng Yên","Hải Dương, Việt Nam; Hà Nội, Vietnam; Lô A4, KCN Thăng Long 2, Liêu Xá, Yên Mỹ, Hưng Yên",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/nhan-vien-it-phan-cung-he-thong-thong-tin-va-mang-may-tinh--1963512-jv
Senior A&P Executive Trade & Event,Vietsin Commercial Complex Development JSC,Hồ Chí Minh,"1058, Nguyễn Văn Linh, KPI, Phường Tân Phong, Quận 7, TP. HCM",Nhân viên,700 - 1.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-a-p-executive-trade-event--1963597-jv
Phiên Dịch Tiếng Hàn (Làm Việc Tại Hải Phòng),Halla Electronics Vina,Hải Phòng,"Lô L4 KCN Tràng Duệ, Hồng Phong, An Dương, Hải Phòng",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/phien-dich-tieng-han-lam-viec-tai-hai-phong-1963543-jv
Kỹ Sư Đảm Bảo Chất Lượng Phần Mềm,Công ty cổ phần dịch vụ công nghệ Beam,Hà Nội,"19 Ngõ 59, Thành Công, Đống Đa, Hanoi, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-djam-bao-chat-luong-phan-mem-1963547-jv
"Senior Content Marketing (B2B, APAC)",SmartOSC,Hà Nội,"18th floor, Handico Tower, Pham Hung street, Me Tri Ha ward, Nam Tu Liem district, Hanoi, Vietnam",Nhân viên,1.000 - 1.300 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-content-marketing-b2b-apac-1963593-jv
Quản Lý Kinh Doanh Kênh Thương Mại Điện Tử,Vina Biocare VN,Hồ Chí Minh,"33 Đường Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/quan-ly-kinh-doanh-kenh-thuong-mai-djien-tu-1963494-jv
Trưởng Bộ Phận Bản Mạch,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-ban-mach-1963592-jv
Trưởng Bộ Phận Chất Lượng,Công Ty TNHH Taishodo Việt Nam,Hải Dương,"Lô XN36, KCN Đại An, P.Tứ Minh, TP Hải Dương",Trưởng phòng,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/truong-bo-phan-chat-luong-1963589-jv
