Tên công việc,Tên công ty,Nơi làm việc,Địa chỉ cụ thể,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
CHUYÊN GIA BẢO TRÌ CƠ KHÍ CẤP CAO- Có Xe Đưa Đón Từ Hà Nội,HYUNDAI Aluminum VINA Shareholding Company,"Thái Nguyên, Hà Nội","Khu Công Nghiệp Điềm Thụy Thái Nguyên, Phú Bình, Thái Nguyên, Việt Nam; Hà Nội, Vietnam",Nhân viên,1.500 - 2.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/chuyen-gia-bao-tri-co-khi-cap-cao-co-xe-djua-djon-tu-ha-noi-1959197-jv
Kỹ Sư Cầu Đường/ Hạ Tầng Giao Thông (Có Tuyển Kỹ Sư Mới Ra Trường - Gấp),Công Ty Cổ Phần Đầu Tư Xây Dựng Và Kỹ Thuật VNCN E&C (VNCN E&C),"Hồ Chí Minh, Hà Nội, Đồng Tháp","Hồ Chí Minh, Việt Nam; Hà Nội, Việt Nam; Cao Lãnh, Đồng Tháp, Việt Nam",Mới Tốt Nghiệp,500 - 1.000 VND,2025-10-01,2025-10-31,https://www.vietnamworks.com/ky-su-cau-duong-ha-tang-giao-thong-co-tuyen-ky-su-moi-ra-truong-gap-1951211-jv
Technology Engineer (CNC Programmer),Công ty TNHH Schoeller-Bleckmann Việt Nam,Bình Dương,Binh Duong,Nhân viên,Thỏa thuận,2025-10-01,2025-10-31,https://www.vietnamworks.com/technology-engineer-cnc-programmer-1964973-jv
Chuyên Viên Kinh Doanh Dự Án (Hà Nội),Công Ty Cổ Phần Vật Tư Khoa Học Biomedic,"Hà Nội, Hồ Chí Minh","Hà Nội, Việt Nam; Ho Chi Minh, Ho Chi Minh City, Vietnam",Nhân viên,Lên đến 30.000.000 VND,2025-10-01,2025-10-31,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-du-an-ha-noi--1950814-jv
Trợ Lý Kiểm Toán Viên - Audit Assistant (Có Kinh Nghiệm),Chi Nhánh Công Ty TNHH Kiểm Toán E-Jung Tại Hà Nội,Hà Nội,"Phòng 3502 – 3504, tầng 35, Keangnam Hanoi Landmark Tower, Mễ Trì, Q. Nam Từ Liêm, TP. Hà Nội.",Nhân viên,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/tro-ly-kiem-toan-vien-audit-assistant-co-kinh-nghiem-1961827-jv
Cán Bộ Kỹ Thuật Hiện Trường,Công Ty TNHH GPS Việt Nam,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Số 64, ngõ 54 Lê Quang Đạo, P. Phú Đô, Q. Nam Từ Liêm, Tp. Hà Nội; Số 22 đường 68, KP1, P. Thạnh Mỹ Lợi, Tp. Thủ Đức, Tp. HCM; A3-2 Nguyễn Sinh Sắc, Hòa Minh, Quận Liên Chiểu, TP Đà Nẵng",Nhân viên,12.000.000 - 15.000.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/can-bo-ky-thuat-hien-truong-1959138-jv
Business Admin & Data Analyst,Công Ty TNHH UPL Việt Nam,Hồ Chí Minh,"Thiso Mall Sala, Đường Mai Chí Thọ, Thu Thiem, Thành Phố Thủ Đức, Ho Chi Minh City, Vietnam",Nhân viên,Thỏa thuận,2025-09-17,2025-10-17,https://www.vietnamworks.com/business-admin-data-analyst-1959055-jv
Kỹ Sư Shopdrawing (Triển Khai Bản Vẽ Thi Công),Công Ty Cổ Phần Vinhomes,Hưng Yên,"Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",Nhân viên,Thỏa thuận,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing-trien-khai-ban-ve-thi-cong--1959410-jv
Phiên Dịch Tiếng Nhật (N1),Công Ty TNHH Khuôn Đúc Tsukuba Việt Nam,"Hưng Yên, Hà Nội","Hưng Yên, Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Từ 15.000.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/phien-dich-tieng-nhat-n1-1958889-jv
Kế Toán Thuế,Công Ty TNHH Anh Phát,Hồ Chí Minh,"45 Đường số 18, Khu đô thị Him Lam, Quận 7, Thành phố Hồ Chí Minh",Nhân viên,12.000.000 - 20.000.000 VND,2025-09-24,2025-10-24,https://www.vietnamworks.com/ke-toan-thue-1961671-jv
CHUYÊN GIA BẢO TRÌ CƠ KHÍ CẤP CAO- Có Xe Đưa Đón Từ Hà Nội,HYUNDAI Aluminum VINA Shareholding Company,"Thái Nguyên, Hà Nội","Khu Công Nghiệp Điềm Thụy Thái Nguyên, Phú Bình, Thái Nguyên, Việt Nam; Hà Nội, Vietnam",Nhân viên,1.500 - 2.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/chuyen-gia-bao-tri-co-khi-cap-cao-co-xe-djua-djon-tu-ha-noi-1959197-jv
Kỹ Sư Cầu Đường/ Hạ Tầng Giao Thông (Có Tuyển Kỹ Sư Mới Ra Trường - Gấp),Công Ty Cổ Phần Đầu Tư Xây Dựng Và Kỹ Thuật VNCN E&C (VNCN E&C),"Hồ Chí Minh, Hà Nội, Đồng Tháp","Hồ Chí Minh, Việt Nam; Hà Nội, Việt Nam; Cao Lãnh, Đồng Tháp, Việt Nam",Mới Tốt Nghiệp,500 - 1.000 VND,2025-10-01,2025-10-31,https://www.vietnamworks.com/ky-su-cau-duong-ha-tang-giao-thong-co-tuyen-ky-su-moi-ra-truong-gap-1951211-jv
Technology Engineer (CNC Programmer),Công ty TNHH Schoeller-Bleckmann Việt Nam,Bình Dương,Binh Duong,Nhân viên,Thỏa thuận,2025-10-01,2025-10-31,https://www.vietnamworks.com/technology-engineer-cnc-programmer-1964973-jv
Chuyên Viên Kinh Doanh Dự Án (Hà Nội),Công Ty Cổ Phần Vật Tư Khoa Học Biomedic,"Hà Nội, Hồ Chí Minh","Hà Nội, Việt Nam; Ho Chi Minh, Ho Chi Minh City, Vietnam",Nhân viên,Lên đến 30.000.000 VND,2025-10-01,2025-10-31,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-du-an-ha-noi--1950814-jv
Trợ Lý Kiểm Toán Viên - Audit Assistant (Có Kinh Nghiệm),Chi Nhánh Công Ty TNHH Kiểm Toán E-Jung Tại Hà Nội,Hà Nội,"Phòng 3502 – 3504, tầng 35, Keangnam Hanoi Landmark Tower, Mễ Trì, Q. Nam Từ Liêm, TP. Hà Nội.",Nhân viên,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/tro-ly-kiem-toan-vien-audit-assistant-co-kinh-nghiem-1961827-jv
Cán Bộ Kỹ Thuật Hiện Trường,Công Ty TNHH GPS Việt Nam,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Số 64, ngõ 54 Lê Quang Đạo, P. Phú Đô, Q. Nam Từ Liêm, Tp. Hà Nội; Số 22 đường 68, KP1, P. Thạnh Mỹ Lợi, Tp. Thủ Đức, Tp. HCM; A3-2 Nguyễn Sinh Sắc, Hòa Minh, Quận Liên Chiểu, TP Đà Nẵng",Nhân viên,12.000.000 - 15.000.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/can-bo-ky-thuat-hien-truong-1959138-jv
Business Admin & Data Analyst,Công Ty TNHH UPL Việt Nam,Hồ Chí Minh,"Thiso Mall Sala, Đường Mai Chí Thọ, Thu Thiem, Thành Phố Thủ Đức, Ho Chi Minh City, Vietnam",Nhân viên,Thỏa thuận,2025-09-17,2025-10-17,https://www.vietnamworks.com/business-admin-data-analyst-1959055-jv
Kỹ Sư Shopdrawing (Triển Khai Bản Vẽ Thi Công),Công Ty Cổ Phần Vinhomes,Hưng Yên,"Nghĩa Trụ, Văn Giang, Hưng Yên, Việt Nam",Nhân viên,Thỏa thuận,2025-09-18,2025-10-18,https://www.vietnamworks.com/ky-su-shopdrawing-trien-khai-ban-ve-thi-cong--1959410-jv
Phiên Dịch Tiếng Nhật (N1),Công Ty TNHH Khuôn Đúc Tsukuba Việt Nam,"Hưng Yên, Hà Nội","Hưng Yên, Hung Yen, Vietnam; Hà Nội, Vietnam",Nhân viên,Từ 15.000.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/phien-dich-tieng-nhat-n1-1958889-jv
Kế Toán Thuế,Công Ty TNHH Anh Phát,Hồ Chí Minh,"45 Đường số 18, Khu đô thị Him Lam, Quận 7, Thành phố Hồ Chí Minh",Nhân viên,12.000.000 - 20.000.000 VND,2025-09-24,2025-10-24,https://www.vietnamworks.com/ke-toan-thue-1961671-jv
CHUYÊN GIA BẢO TRÌ CƠ KHÍ CẤP CAO- Có Xe Đưa Đón Từ Hà Nội,HYUNDAI Aluminum VINA Shareholding Company,"Thái Nguyên, Hà Nội","Khu Công Nghiệp Điềm Thụy Thái Nguyên, Phú Bình, Thái Nguyên, Việt Nam; Hà Nội, Vietnam",Nhân viên,1.500 - 2.000 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/chuyen-gia-bao-tri-co-khi-cap-cao-co-xe-djua-djon-tu-ha-noi-1959197-jv
