ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C59D43,Chuyên viên tư vấn giáo dục - Ocean Edu Điện Biên (Mới),Công Ty CP Giáo Dục Đại Dương,Điện Biên,Lương: Trên 15 Tr VND,02-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-dien-bien.35C59D43.html
35C59D43,Chuyên viên tư vấn giáo dục - Ocean Edu Điện Biên (Mới),Công Ty CP Giáo Dục Đại Dương,Điện Biên,Lương: Trên 15 Tr VND,02-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-ocean-edu-dien-bien.35C59D43.html
35C59D42,Chuyên viên Kế toán (mảng Xây dựng) (Mới),TẬP ĐOÀN BRG – CÔNG TY CP,Hà Nội,Lương: Cạnh tranh,02-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-mang-xay-dung.35C59D42.html
35C59D39,KỸ SƯ HSE (Mới),Công Ty Cổ Phần Tập Đoàn Đèo Cả,Cao Bằng Hồ Chí Minh Trà Vinh,Lương: 16 Tr - 23 Tr VND,02-10-2025,23-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-hse.35C59D39.html
35C59D41,Nhân Viên Thiết Kế Rập (Mới),CÔNG TY TNHH SX TM TÚI XÁCH - HỘP DA PHƯỚC HẢI,Hồ Chí Minh,Lương: 13 Tr - 17 Tr VND,02-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-thiet-ke-rap.35C59D41.html
35C59D3F,Thủ Kho Vật Tư (Nhà máy lắp ráp xe máy điện) (Mới),Công Ty TNHH XNK Phát Triển Đông Dương,Long An,Lương: 12 Tr - 15 Tr VND,02-10-2025,25-10-2025,https://careerviet.vn/vi/tim-viec-lam/thu-kho-vat-tu-nha-may-lap-rap-xe-may-dien.35C59D3F.html
35C59D3B,TRƯỞNG KHO (QUẢN LÝ KHO CÀ MAU) (Mới),Công Ty TNHH BEST Logistics Technology (Việt Nam),Cà Mau,Lương: 10 Tr - 12 Tr VND,02-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-kho-quan-ly-kho-ca-mau.35C59D3B.html
35C59D38,Kỹ Sư QS MEP (Mới),Công ty TNHH Tư vấn Dự án SEAS,Hồ Chí Minh,Lương: Cạnh tranh,02-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-qs-mep.35C59D38.html
35C59D3D,"Nhân viên kỹ thuật điện, điện lạnh (T&C) (Mới)",CÔNG TY CỔ PHẦN SEAREFICO,Hồ Chí Minh,Lương: Cạnh tranh,02-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-dien-dien-lanh-t-c.35C59D3D.html
35C59D36,Nhân Viên Hành Chính – Lễ Tân (Mới),Công ty TNHH Khải Minh Group,Hà Nội,Lương: Cạnh tranh,02-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-hanh-chinh-le-tan.35C59D36.html
35C59D35,Leader Sàn TMDT (Mới),CÔNG TY CỔ PHẦN HCT FAMILY FOOD,Hồ Chí Minh,Lương: 16 Tr - 20 Tr VND,02-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/leader-san-tmdt.35C59D35.html
35C59D37,"Chuyên viên tư vấn giáo dục vùng ( Hà Nội, Bắc Ninh, Bắc Giang, Thái Bình, Thái Nguyên, Thanh Hóa) (Mới)",Công Ty CP Giáo Dục Đại Dương,Hà Nội Bắc Ninh Bắc Giang,Lương: Cạnh tranh,02-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-giao-duc-vung-ha-noi-bac-ninh-bac-giang-thai-binh-thai-nguyen-thanh-hoa.35C59D37.html
