Tên công việc,Tên công ty,Nơi làm việc,Địa chỉ cụ thể,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
Kỹ Sư Phát Triển Hàng Công Nghiệp & Nội Ngoại Thất (Solidworks),"Fine Scandinavia CO., LTD",Bình Dương,"Binh Duong, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-phat-trien-hang-cong-nghiep-and-noi-ngoai-that-solidworks-1963362-jv
Construction Machinery Product Manager,Công Ty TNHH LiuGong Machinery Việt Nam,Hà Nội,"Tầng 15, Toà nhà Center Building, Số 1 Nguyễn Huy Tưởng, Phường Thanh Xuân, Thành phố Hà Nội, Việt Nam.",Nhân viên,Lên đến 1.600 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/construction-machinery-product-manager-1945570-jv
Trưởng Phòng Kinh Doanh Bất Động Sản,Tập Đoàn CEO,Hà Nội,"Tầng 5, Tháp CEO, HH2 -1, Đô thị mới Mễ Trì Hạ, Đường Phạm Hùng, P. Mễ Trì, Q. Nam Từ Liêm, TP Hà Nội",Trưởng phòng,Thỏa thuận,2025-09-25,2025-10-25,https://www.vietnamworks.com/truong-phong-kinh-doanh-bat-djong-san-1962331-jv
Sales Representative - GT Channel,Công Ty TNHH Một Thành Viên Kärcher,Hồ Chí Minh,"811A-811B Trường Chinh, Tây Thạnh, Tân Phú, HCM",Nhân viên,Từ 800 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-representative-gt-channel-1963358-jv
"Tuyến Gấp Chuyên Viên Pháp Chế Tại Hà Nội, Lương Lến Đến 25Tr/tháng",Công Ty Cổ Phần Thiết Bị Và Dịch Vụ Tce,Hà Nội,"Tầng 1L, tòa 169 Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/tuyen-gap-chuyen-vien-phap-che-tai-ha-noi-luong-len-den-25tr-thang-1963348-jv
"Senior Engineer, Product Industrialization, Bags (HCM/ Binh Duong)",Amer Sports Vietnam Limited,"Bình Dương, Hồ Chí Minh",Binh Duong; Ho Chi Minh,Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-engineer-product-industrialization-bags-hcm-binh-duong--1963353-jv
Nhân Viên Pháp Lý Thu Hồi Công Nợ,"Chailease International Leasing Co., Ltd","Hà Nội, Hải Phòng","Hà Nội, Vietnam; Hải Phòng, Việt Nam",Nhân viên,Thỏa thuận,2025-09-09,2025-10-09,https://www.vietnamworks.com/nhan-vien-phap-ly-thu-hoi-cong-no--1955887-jv
"Chuyên Viên Kiểm Soát Nội Bộ - Lĩnh Vực Xây Dựng, Điện, Cơ Khí",Công Ty Cổ Phần Tập Đoàn Đèo Cả,Hồ Chí Minh,"32 Thạch Thị Thanh, Phường Tân Định",Nhân viên,18.000.000 - 20.000.000 VND,2025-09-15,2025-10-15,https://www.vietnamworks.com/chuyen-vien-kiem-soat-noi-bo-linh-vuc-xay-dung-djien-co-khi-1957742-jv
Chuyên Viên Kinh Doanh Quốc Tế (Tiếng Trung),Công Ty TNHH Chainvalue (Việt Nam),Hồ Chí Minh,"235 Đồng Khởi, TP.HCM",Mới Tốt Nghiệp,600 - 900 VND,2025-09-22,2025-10-22,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-quoc-te-tieng-trung-1960650-jv
Trưởng Phòng QA,Công Ty Cổ Phần Tập Đoàn Sunhouse,Hà Nội,"Nhà máy Sunhouse, Km21 Đại lộ Thăng Long, Ngọc Liệp, Xã Kiều Phú, TP Hà Nội",Trưởng phòng,1.200 - 1.800 VND,2025-09-22,2025-10-22,https://www.vietnamworks.com/truong-phong-qa--1960646-jv
Kỹ Sư Phát Triển Hàng Công Nghiệp & Nội Ngoại Thất (Solidworks),"Fine Scandinavia CO., LTD",Bình Dương,"Binh Duong, Vietnam",Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/ky-su-phat-trien-hang-cong-nghiep-and-noi-ngoai-that-solidworks-1963362-jv
Construction Machinery Product Manager,Công Ty TNHH LiuGong Machinery Việt Nam,Hà Nội,"Tầng 15, Toà nhà Center Building, Số 1 Nguyễn Huy Tưởng, Phường Thanh Xuân, Thành phố Hà Nội, Việt Nam.",Nhân viên,Lên đến 1.600 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/construction-machinery-product-manager-1945570-jv
Trưởng Phòng Kinh Doanh Bất Động Sản,Tập Đoàn CEO,Hà Nội,"Tầng 5, Tháp CEO, HH2 -1, Đô thị mới Mễ Trì Hạ, Đường Phạm Hùng, P. Mễ Trì, Q. Nam Từ Liêm, TP Hà Nội",Trưởng phòng,Thỏa thuận,2025-09-25,2025-10-25,https://www.vietnamworks.com/truong-phong-kinh-doanh-bat-djong-san-1962331-jv
Sales Representative - GT Channel,Công Ty TNHH Một Thành Viên Kärcher,Hồ Chí Minh,"811A-811B Trường Chinh, Tây Thạnh, Tân Phú, HCM",Nhân viên,Từ 800 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/sales-representative-gt-channel-1963358-jv
"Tuyến Gấp Chuyên Viên Pháp Chế Tại Hà Nội, Lương Lến Đến 25Tr/tháng",Công Ty Cổ Phần Thiết Bị Và Dịch Vụ Tce,Hà Nội,"Tầng 1L, tòa 169 Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy",Nhân viên,15.000.000 - 25.000.000 VND,2025-09-29,2025-10-29,https://www.vietnamworks.com/tuyen-gap-chuyen-vien-phap-che-tai-ha-noi-luong-len-den-25tr-thang-1963348-jv
"Senior Engineer, Product Industrialization, Bags (HCM/ Binh Duong)",Amer Sports Vietnam Limited,"Bình Dương, Hồ Chí Minh",Binh Duong; Ho Chi Minh,Nhân viên,Thỏa thuận,2025-09-29,2025-10-29,https://www.vietnamworks.com/senior-engineer-product-industrialization-bags-hcm-binh-duong--1963353-jv
Nhân Viên Pháp Lý Thu Hồi Công Nợ,"Chailease International Leasing Co., Ltd","Hà Nội, Hải Phòng","Hà Nội, Vietnam; Hải Phòng, Việt Nam",Nhân viên,Thỏa thuận,2025-09-09,2025-10-09,https://www.vietnamworks.com/nhan-vien-phap-ly-thu-hoi-cong-no--1955887-jv
Garment Technician,Crystal Martin (Vietnam) Company Limited,"Bắc Giang, Hà Nội, Bắc Ninh","Lô R (R1), khu công nghiệp Quang Châu, Phường Quang Châu, Thị xã Việt Yên, Tỉnh Bắc Giang; Hà Nội, Việt Nam; Bắc Ninh, Việt Nam",Nhân viên,Thỏa thuận,2025-09-11,2025-10-11,https://www.vietnamworks.com/garment-technician-1956649-jv
"Chuyên Viên Kiểm Soát Nội Bộ - Lĩnh Vực Xây Dựng, Điện, Cơ Khí",Công Ty Cổ Phần Tập Đoàn Đèo Cả,Hồ Chí Minh,"32 Thạch Thị Thanh, Phường Tân Định",Nhân viên,18.000.000 - 20.000.000 VND,2025-09-15,2025-10-15,https://www.vietnamworks.com/chuyen-vien-kiem-soat-noi-bo-linh-vuc-xay-dung-djien-co-khi-1957742-jv
"Quản Lý Thương Hiệu Nhãn Hàng Sữa Công Thức (Brand Manager) (Thu Nhập 1,000-2,000$ Tuỳ Theo Năng Lực)",Công Ty TNHH Thương Mại Vạn An,Hà Nội,"Khu B2, Đường Công nghiệp 4, khu Công nghiệp Sài Đồng B, Long Biên, Hà Nội",Trưởng phòng,1.000 - 2.000 VND,2025-09-10,2025-10-10,https://www.vietnamworks.com/quan-ly-thuong-hieu-nhan-hang-sua-cong-thuc-brand-manager-thu-nhap-1-000-2-000-tuy-theo-nang-luc--1956511-jv
