ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5B5E1,PROCUREMENT EXECUTIVE-INTERN - Dis.7 (Mới),CÔNG TY CỔ PHẦN ĐẦU TƯ CME SOLAR,Hồ Chí Minh,Lương: 1 Tr - 3 Tr VND,15-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/procurement-executive-intern-dis-7.35C5B5E1.html
35C5B5E0,CV/CVC Giải Pháp Phí và Sản phẩm Liên kết - Khối KHCN (Mới),Ngân hàng Thương mại cổ phần Đông Nam Á (SeABank),Hà Nội,Lương: Cạnh tranh,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/cv-cvc-giai-phap-phi-va-san-pham-lien-ket-khoi-khcn.35C5B5E0.html
35C5B5DE,[Prudential- MSB] Chuyên Viên Tư Vấn Tài Chính_Kênh Liên kết Ngân Hàng (Mới),Công Ty TNHH Bảo Hiểm Nhân Thọ Prudential Việt Nam – Bộ Phận Hợp Tác Kinh Doanh,Hồ Chí Minh Hà Nội Tiền Giang,Lương: Cạnh tranh,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/prudential-msb-chuyen-vien-tu-van-tai-chinh_kenh-lien-ket-ngan-hang.35C5B5DE.html
35C5B5DD,Giao dịch viên - Chi nhánh Hưng Yên(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hưng Yên,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/giao-dich-vien-chi-nhanh-hung-yen.35C5B5DD.html
35C5B5C6,NHÂN VIÊN TELESALE(Mới),Công ty TNHH Kinh doanh và Dịch vụ Bất động sản Realhomes,Hà Nội Hưng Yên,Lương: 4 Tr - 10 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-telesale.35C5B5C6.html
35C5B5D8,GIÁM SÁT SẢN XUẤT(Mới),CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM HOÀNG SƠN,Bình Dương,Lương: 15 Tr - 20 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/giam-sat-san-xuat.35C5B5D8.html
35C5B5DB,[Prudential- Shinhan Bank] Chuyên Viên Tư Vấn Tài Chính_Kênh Liên kết Ngân Hàng(Mới),Công Ty TNHH Bảo Hiểm Nhân Thọ Prudential Việt Nam – Bộ Phận Hợp Tác Kinh Doanh,Hồ Chí Minh Hà Nội,Lương: Cạnh Tranh,15-10-2025,15-12-2025,https://careerviet.vn/vi/tim-viec-lam/prudential-shinhan-bank-chuyen-vien-tu-van-tai-chinh_kenh-lien-ket-ngan-hang.35C5B5DB.html
35C5B5D6,Senior SAP ABAP Developer(Mới),Teamwork Vietnam Ltd,Hồ Chí Minh,Lương: Cạnh Tranh,15-10-2025,29-11-2025,https://careerviet.vn/vi/tim-viec-lam/senior-sap-abap-developer.35C5B5D6.html
35C5B5D7,Kỹ sư Shop Drawing(Mới),Công Ty Cổ Phần Xây Dựng Phước Thành,Hồ Chí Minh,Lương: 20 Tr - 25 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-shop-drawing.35C5B5D7.html
35C5B5DA,Kỹ Sư Hiện Trường(Mới),CÔNG TY TNHH LUYỆN KIM TRẦN HỒNG QUÂN,Dak Nông,Lương: 18 Tr - 22 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/ky-su-hien-truong.35C5B5DA.html
35C5B5D9,CHUYÊN VIÊN KINH DOANH(Mới),Công ty CP Thương mại Dịch vụ An Biên,Hồ Chí Minh Hà Nội,Lương: 15 Tr - 18 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh.35C5B5D9.html
35C5B5D3,Phiên Dịch Viên Tiếng Nhật (F&B)(Mới),CÔNG TY CỔ PHẦN SENSE OF LIFE,Hồ Chí Minh,Lương: Cạnh Tranh,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/phien-dich-vien-tieng-nhat-f-b.35C5B5D3.html
