Tên công việc,Tên công ty,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
General Accountant | Kế Toán Tổng Hợp,CÔNG TY TNHH VIETNAM SEA FLYING LOGISTICS,Nhân viên,Thỏa thuận,2025-09-23,2025-10-23,https://www.vietnamworks.com/general-accountant-or-ke-toan-tong-hop-1961489-jv
Kế Toán Tổng Hợp kiêm Kế Toán Thanh Toán Quốc Tế,Công Ty Cổ Phần Trang Thiết Bị Y Tế Cổng Vàng,Nhân viên,Thỏa thuận,2025-09-24,2025-10-24,https://www.vietnamworks.com/ke-toan-tong-hop-kiem-ke-toan-thanh-toan-quoc-te-1947756-jv
Kế Toán Ngân Hàng,Công Ty TNHH Bất Động Sản Smartland,Nhân viên,Thỏa thuận,2025-09-25,2025-10-25,https://www.vietnamworks.com/ke-toan-ngan-hang-1945582-jv
Kế Toán Trưởng (Ngành F&B),Phú Quý Sài Gòn,Trưởng phòng,25.000.000 - 35.000.000 VND,2025-09-19,2025-10-19,https://www.vietnamworks.com/ke-toan-truong-nganh-f-b--1960346-jv
Kế Toán Ngân Hàng - Thanh Toán,Công Ty TNHH Thương Mại Và Vận Tải Thái Tân,Nhân viên,14.000.000 - 18.000.000 VND,2025-09-05,2025-10-05,https://www.vietnamworks.com/ke-toan-ngan-hang-thanh-toan-1954629-jv
Kế Toán Công Nợ (Lương Từ 700 USD) - Chỉ Tuyển Nữ,Công Ty TNHH Bất Động Sản Smartland,Nhân viên,700 - 900 VND,2025-09-17,2025-10-17,https://www.vietnamworks.com/ke-toan-cong-no-luong-tu-700-usd-chi-tuyen-nu-1945581-jv
Trưởng Nhóm Kế Toán Công Nợ (Up To 1000USD) - Chỉ Tuyển Nữ,Công Ty TNHH Bất Động Sản Smartland,Nhân viên,Thỏa thuận,2025-09-17,2025-10-17,https://www.vietnamworks.com/truong-nhom-ke-toan-cong-no-up-to-1000usd-chi-tuyen-nu-1945578-jv
Accountant,CÔNG TY TNHH VIVI MUSIC VIETNAM,Nhân viên,Thỏa thuận,2025-09-19,2025-10-19,https://www.vietnamworks.com/accountant-1960339-jv
"Chuyên Viên Khách Hàng Doanh Nghiệp: Hà Nội, Hải Phòng, Quảng Ninh",Ngân Hàng Thương Mại Cổ Phần Bảo Việt,Nhân viên,Thỏa thuận,2025-09-12,2025-10-12,https://www.vietnamworks.com/chuyen-vien-khach-hang-doanh-nghiep-ha-noi-hai-phong-quang-ninh-1957587-jv
Senior Financial Analyst (1B to 1.5B VND Per Year),Crossian Việt Nam,Nhân viên,1.000.000.000 - 1.500.000.000 VND,2025-09-12,2025-10-12,https://www.vietnamworks.com/senior-financial-analyst-1b-to-1-5b-vnd-per-year-1957551-jv
