job_id,keyword,title,link,company,salary,Nơi làm việc,thời gian đăng,Kinh nghiệm làm việc tối thiểu
1914927,moi-nhat,"Kiến Trúc Sư Công Trình - Thu Nhập Từ (17 Triệu - 25 Triệu + Thưởng, Phụ Cấp) - 3 Năm Kinh Nghiệm -...",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/kien-truc-su-cong-trinh-thu-nhap-tu-17-trieu-25-trieu-thuong-phu-cap-3-nam-kinh-nghiem-ha-noi/1914927.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN TÀ XÙA SKYLINE,17 - 25 triệu,Hà Nội,3 ngày trước,3 năm
1914936,moi-nhat,"Kiến Trúc Sư Quy Hoạch - Thu Nhập Từ (17 Triệu - 25 Triệu + Thưởng, Phụ Cấp) - 3 Năm Kinh Nghiệm - H...",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/kien-truc-su-quy-hoach-thu-nhap-tu-17-trieu-25-trieu-thuong-phu-cap-3-nam-kinh-nghiem-ha-noi/1914936.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN TÀ XÙA SKYLINE,17 - 25 triệu,Hà Nội,3 ngày trước,3 năm
1907935,moi-nhat,Product Executive,https://www.topcv.vnhttps://www.topcv.vn/brand/topcv/tuyen-dung/product-executive-j1907935.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty Cổ phần TOPCV Việt Nam,Thoả thuận,Hà Nội,1 tuần trước,3 năm
1859380,moi-nhat,Chuyên Viên Trade Marketing,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-trade-marketing/1859380.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH LIVESPO PHARMA,15 - 20 triệu,Hà Nội,1 tuần trước,2 năm
1828250,moi-nhat,Chuyên Viên Tư Vấn Bảo Hiểm - Dự Án ACB X Sun Life,https://www.topcv.vnhttps://www.topcv.vn/brand/sunlifevietnam/tuyen-dung/chuyen-vien-tu-van-bao-hiem-du-an-acb-x-sun-life-j1828250.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ SUN LIFE VIỆT NAM,Thoả thuận,Hồ Chí Minh & 9 nơi khác,3 ngày trước,Dưới 1 năm
1882834,moi-nhat,Nhân Viên Kinh Doanh Quốc Tế | International Sales Representative | International Sales Executive,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-quoc-te-international-sales-representative-international-sales-executive/1882834.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty Cổ phần BMC Việt Nam,15 - 45 triệu,Long An,1 tuần trước,Không yêu cầu
1912205,moi-nhat,Kế Toán Tổng Hợp - Thu Nhập Đến 18 Triệu,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-den-18-trieu/1912205.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH NHA KHOA XIN CHÀO,13 - 18 triệu,Hồ Chí Minh,5 ngày trước,4 năm
1917091,moi-nhat,Chuyên Viên Tư Vấn Tuyển Sinh /Kinh Doanh /Sales / Consultant - Thu Nhập Lên Đến 30 Triệu - ILA Hà N...,https://www.topcv.vnhttps://www.topcv.vn/brand/trung-tam-anh-ngu-ila/tuyen-dung/chuyen-vien-tu-van-tuyen-sinh-kinh-doanh-sales-consultant-thu-nhap-len-den-30-trieu-ila-ha-noi-j1917091.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Trung Tâm Anh Ngữ ILA,10 - 30 triệu,Hà Nội,2 ngày trước,1 năm
1912802,moi-nhat,Kỹ Sư Cơ Điện,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/ky-su-co-dien/1912802.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty Cổ Phần Kỹ Thuật và Thương Mại H.T.G,Tới 40 triệu,Hồ Chí Minh & 2 nơi khác,4 ngày trước,Dưới 1 năm
1914904,moi-nhat,"Chuyên Viên Pháp Chế Dự Án - Thu Nhập Từ (20 Triệu - 25 Triệu + Thưởng, Phụ Cấp) - 3 Năm Kinh Nghiệm...",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-phap-che-du-an-thu-nhap-tu-20-trieu-25-trieu-thuong-phu-cap-3-nam-kinh-nghiem-phap-ly-du-an-ha-noi/1914904.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN TÀ XÙA SKYLINE,20 - 25 triệu,Hà Nội,3 ngày trước,3 năm
1914881,moi-nhat,Nhân Viên Chăm Sóc Khách Hàng/ Customer Service (Nam) - Giao Tiếp Tiếng Anh - TP.HCM,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-cham-soc-khach-hang-customer-service-nam-giao-tiep-tieng-anh-tp-hcm/1914881.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH VĂN HÓA TRUYỀN THÔNG LIVEU,Từ 8 triệu,Hồ Chí Minh,4 ngày trước,1 năm
1917808,moi-nhat,Nhân Viên Tư Vấn Căn Hộ/ Sale Bất Động Sản/ Telesale/ Chuyên Viên Kinh Doanh/ Chăm Sóc Khách Hàng -...,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-tu-van-can-ho-sale-bat-dong-san-telesale-chuyen-vien-kinh-doanh-cham-soc-khach-hang-moi-ra-truong-ho-tro-chi-phi-marketing-data-co-san-thu-nhap-on-dinh-9-trieu-60-trieu-thu-duc-quan-2-binh-thanh-ho-chi-minh/1917808.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,NAM VIET GROUP  REAL ESTATE CO.LTD,9 - 60 triệu,Hồ Chí Minh,2 ngày trước,Không yêu cầu
1887891,moi-nhat,Nhân Viên Digital Marketing - 2 Năm Kinh Nghiệm,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-digital-marketing-2-nam-kinh-nghiem/1887891.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty TNHH thương mại Kata Việt Nam,10 - 15 triệu,Hà Nội,1 tuần trước,2 năm
1917573,moi-nhat,Chuyên Viên Thu Hồi Nợ Có Tài Sản Đảm Bảo Tại Hà Nội,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-thu-hoi-no-co-tai-san-dam-bao-tai-ha-noi/1917573.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN LOTTE VIỆT NAM,Thoả thuận,Hà Nội,2 ngày trước,2 năm
1887309,moi-nhat,Kỹ Thuật Viên Sửa Chữa Chung Làm Việc Tại Hà Nội,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/ky-thuat-vien-sua-chua-chung-lam-viec-tai-ha-noi/1887309.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN CARON HOLDINGS,Thoả thuận,Hà Nội,6 ngày trước,1 năm
1905607,moi-nhat,Kỹ Thuật Thiết Kế Xe Chuyên Dùng Sản Xuất (Bắc Ninh) - Thu Nhập Upto 20 Triệu - Từ 1 Năm Kinh,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/ky-thuat-thiet-ke-xe-chuyen-dung-san-xuat-bac-ninh-thu-nhap-upto-20-trieu-tu-1-nam-kinh/1905607.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty CP Ô tô Vũ Linh,Tới 20 triệu,Bắc Ninh,5 ngày trước,1 năm
1882930,moi-nhat,"Nhân Viên Livestream/Host Live (Yêu Cầu Ưa Nhìn, Tự Tin/ Nhận CV Chưa Có Kinh Nghiệm, Fresher)",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-livestream-host-live-yeu-cau-ua-nhin-tu-tin-nhan-cv-chua-co-kinh-nghiem-fresher/1882930.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH MẠNG LƯỚI THÔNG MINH VIỆT NAM,10 - 25 triệu,Hồ Chí Minh,hôm nay,Không yêu cầu
1912681,moi-nhat,"Senior Front-End Developer (ReactJS, TypeScript)",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/senior-front-end-developer-reactjs-typescript/1912681.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH SPACEMIND,40 - 55 triệu,Đà Nẵng,3 ngày trước,Trên 5 năm
1905572,moi-nhat,Trưởng Bộ Phận Nhà Hàng - Thu Nhập Từ 18-23 Triệu /Tháng - Khu Vực Tp Hạ Long,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/truong-bo-phan-nha-hang-thu-nhap-tu-18-23-trieu-thang-khu-vuc-tp-ha-long/1905572.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH ĐỨC DƯƠNG,Thoả thuận,Quảng Ninh,1 tuần trước,3 năm
1798686,moi-nhat,Chuyên Viên Quản Lý Mặt Bằng Thuê - Lease Service Executive,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-quan-ly-mat-bang-thue-lease-service-executive/1798686.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN - HIGHLAND COFFEE SERVICE JSC,10 - 15 triệu,Hà Nội,3 ngày trước,2 năm
1911707,moi-nhat,Nhân Viên Kế Toán Nội Bộ - Chuyên Nghành Chuyển Phát Nhanh - Kinh Nghiệm 2 Năm - Thu Nhập  Hấp Dẫn -...,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-ke-toan-noi-bo-chuyen-nghanh-chuyen-phat-nhanh-kinh-nghiem-2-nam-thu-nhap-hap-dan-lam-viec-tai-tan-binh/1911707.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VƯỢNG GROUP,Thoả thuận,Hồ Chí Minh,5 ngày trước,2 năm
1916479,moi-nhat,"Chuyên Viên Tư Vấn Bảo Hiểm (Hồ Chí Minh, Bình Dương, Đồng Nai)",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-tu-van-bao-hiem-ho-chi-minh-binh-duong-dong-nai/1916479.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty Cổ Phần Con Cưng,Thoả thuận,Hồ Chí Minh & 2 nơi khác,3 ngày trước,Không yêu cầu
1916481,moi-nhat,"Chuyên Viên Kinh Doanh/ Sales/ Tư Vấn Du Học (Thu Nhập 15-30 Triệu) - Tại Quận 11, TP. HCM",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-sales-tu-van-du-hoc-thu-nhap-15-30-trieu-tai-quan-11-tp-hcm/1916481.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công Ty Cổ Phần Tư Vấn Giáo Dục Edunetwork Việt Nam,15 - 30 triệu,Hồ Chí Minh,2 ngày trước,1 năm
1903339,moi-nhat,Nhân Viên Sale Online/ Chăm Sóc Khách Hàng (Data Nóng) - Thu Nhập Đến 15 Triệu,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-sale-online-cham-soc-khach-hang-data-nong-thu-nhap-den-15-trieu/1903339.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CHI NHÁNH VĨNH LONG - CÔNG TY CP ỨNG DỤNG CÔNG NGHỆ XANH VIỆT NAM,8 - 15 triệu,Vĩnh Long,1 tuần trước,Không yêu cầu
1911701,moi-nhat,"Kỹ Sư Thiết Kế Hạ Tầng Kỹ Thuật Giao Thông (Yêu Cầu Tốt Nghiệp Ngành Giao Thông, Cầu Đường)",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/ky-su-thiet-ke-ha-tang-ky-thuat-giao-thong-yeu-cau-tot-nghiep-nganh-giao-thong-cau-duong/1911701.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN TƯ VẤN VÀ XÂY DỰNG HẠ TẦNG HOÀNG LÂM,20 - 25 triệu,Hà Nội,5 ngày trước,5 năm
1911713,moi-nhat,"Nhân Viên Xử Lý Hồ Sơ Visa Du Học, Du Lịch, Thăm Thân Lương Cứng Từ 8 - 10 Triệu Tại Hà Nội",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-xu-ly-ho-so-visa-du-hoc-du-lich-tham-than-luong-cung-tu-8-10-trieu-tai-ha-noi/1911713.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN GIẢI PHÁP ĐÔNG DƯƠNG,8 - 10 triệu,Hà Nội,5 ngày trước,1 năm
1908899,moi-nhat,Trưởng Phòng Marketing - Lĩnh Vực Tư Vấn Du Học,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/truong-phong-marketing-linh-vuc-tu-van-du-hoc/1908899.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN MẶT TRỜI PHƯỚC TIẾN,25 - 30 triệu,"Hà Nội, Hưng Yên",1 tuần trước,2 năm
1916456,moi-nhat,Chuyên Viên Kinh Doanh B2B - Lĩnh Vực Môi Giới Cho Thuê Văn Phòng - Thu Nhập Trung Bình 20 Triệu/ Th...,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-b2b-linh-vuc-moi-gioi-cho-thue-van-phong-thu-nhap-trung-binh-20-trieu-thang-tro-len-quan-binh-thanh-tphcm/1916456.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty cổ phần Maison Sài Gòn,20 - 40 triệu,Hồ Chí Minh,3 ngày trước,1 năm
1911524,moi-nhat,Trưởng Nhóm Công Nợ,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/truong-nhom-cong-no/1911524.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,Công ty TNHH Thương mại - Xuất nhập khẩu Nhất Nam Food,Từ 20 triệu,Hồ Chí Minh,5 ngày trước,5 năm
1710846,moi-nhat,Telesales / Nhân Viên Đặt Lịch Hẹn - Không Yêu Cầu Kinh Nghiệm - Được Đào Tạo,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/telesales-nhan-vien-dat-lich-hen-khong-yeu-cau-kinh-nghiem-duoc-dao-tao/1710846.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀNG KIM VIỆT NAM,9 - 15 triệu,Hà Nội,2 ngày trước,Không yêu cầu
1916272,moi-nhat,"Nhân Viên Kinh Doanh / Tư Vấn Du Lịch - Được Đào Tạo Có Lương, Không Yêu Cầu Kinh Nghiệm",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-du-lich-duoc-dao-tao-co-luong-khong-yeu-cau-kinh-nghiem/1916272.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN TẬP ĐOÀN HOÀNG KIM VIỆT NAM,15 - 25 triệu,Hà Nội,2 ngày trước,Không yêu cầu
1905691,moi-nhat,Nhân Viên Thiết Kế Nội Thất / Triển Lãm - Trưng Bày - Từ 23 Đến 33 Tuổi (Lương Up To 25 Triệu++),https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-noi-that-trien-lam-trung-bay-tu-23-den-33-tuoi-luong-up-to-25-trieu/1905691.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH THIẾT KẾ VÀ TRUYỀN THÔNG LOTUS VIỆT,15 - 25 triệu,Hà Nội,1 tuần trước,1 năm
1904358,moi-nhat,Kỹ Sư NPI - Biết Tiếng Trung ( Thu Nhập 25 - 35 Triệu) Tại Hà Nội,https://www.topcv.vnhttps://www.topcv.vn/viec-lam/ky-su-npi-biet-tieng-trung-thu-nhap-25-35-trieu-tai-ha-noi/1904358.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY TNHH KWONG MING ELECTRICAL (VIỆT NAM),25 - 35 triệu,Hà Nội,1 tuần trước,2 năm
1917731,moi-nhat,"Nhân Viên Kinh Doanh Máy Móc, Thiết Bị Xe Cơ Giới Thu Nhập Từ 15-30 Triệu Tại Phường Đông Hòa, Hồ Ch...",https://www.topcv.vnhttps://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-may-moc-thiet-bi-xe-co-gioi-thu-nhap-tu-15-30-trieu-tai-phuong-dong-hoa-ho-chi-minh-di-lam-ngay/1917731.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mIxwuqyJW5nSdubt14GXeyTVBXNEgFq1px1tQMsg_1760846333,CÔNG TY CỔ PHẦN THIẾT BỊ 595 SÀI GÒN,15 - 30 triệu,"Hồ Chí Minh, Bình Dương",2 ngày trước,Không yêu cầu
