ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C582E1,Chuyên Viên Chính/Chuyên Viên Cao Cấp KHDN Vi Mô - Khu vực Miền Nam và Tây Nguyên,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Dak Lak Long An Gia Lai,Lương: Cạnh tranh,10-10-2025,20-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-khdn-vi-mo-khu-vuc-mien-nam-va-tay-nguyen.35C582E1.html
35C582E1,Chuyên Viên Chính/Chuyên Viên Cao Cấp KHDN Vi Mô - Khu vực Miền Nam và Tây Nguyên,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Dak Lak Long An Gia Lai,Lương: Cạnh tranh,10-10-2025,20-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-khdn-vi-mo-khu-vuc-mien-nam-va-tay-nguyen.35C582E1.html
35C581B1,Giám đốc Quan hệ Khách Hàng Ưu Tiên - Hà Nội,Ngân Hàng TMCP Quốc Dân (NCB),Hà Nội,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-quan-he-khach-hang-uu-tien-ha-noi.35C581B1.html
35C582BF,[H3] NHÂN VIÊN TELESALE TÍN DỤNG NGÂN HÀNG QUỐC TẾ,BELLSYSTEM24 - CÔNG TY CỔ PHẦN BELLSYSTEM24 VIỆT NAM,Hồ Chí Minh,Lương: 10 Tr - 40 Tr VND,10-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/h3-nhan-vien-telesale-tin-dung-ngan-hang-quoc-te.35C582BF.html
35C581E7,Trưởng bộ phận Quản lý phân khúc AF - TA050,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh tranh,10-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-bo-phan-quan-ly-phan-khuc-af-ta050.35C581E7.html
35C581FA,Chuyên viên Quản lý Chất lượng,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Lương: Cạnh tranh,10-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-chat-luong.35C581FA.html
35C582DD,Chuyên Gia – Thúc Đẩy Kinh Doanh Tài Trợ Thương Mại,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hồ Chí Minh,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-thuc-day-kinh-doanh-tai-tro-thuong-mai.35C582DD.html
35C58197,"[Hà Nội, Hồ Chí Minh]  Kỹ sư Điện -  Thiết kế & Giám sát Truyền tải điện (Dự án Solar Farm)",Tổng Công ty Cổ phần Công trình Viettel,Hà Nội Hồ Chí Minh,Lương: 25 Tr - 35 Tr VND,10-10-2025,Hôm nay,https://careerviet.vn/vi/tim-viec-lam/ha-noi-ho-chi-minh-ky-su-dien-thiet-ke-giam-sat-truyen-tai-dien-du-an-solar-farm.35C58197.html
35C582E3,Chuyên Viên Chính/Chuyên Viên Cao Cấp KHDN Vi Mô - Khu vực Miền Bắc,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Quảng Ninh Hải Dương Hưng Yên,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-khdn-vi-mo-khu-vuc-mien-bac.35C582E3.html
35C581F5,Nhân viên Quản lý sản phẩm (Product Owner),Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Lương: Cạnh tranh,10-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-quan-ly-san-pham-product-owner.35C581F5.html
35C582CF,"Senior Expert, Distribution Administration (Reporting, Compensation & Payment)",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/senior-expert-distribution-administration-reporting-compensation-payment.35C582CF.html
35C58212,"[Hà Nội, Hồ Chí Minh]  Kỹ sư Điện -  Giám sát và lắp đặt thiết bị Solar Farm",Tổng Công ty Cổ phần Công trình Viettel,Hà Nội Hồ Chí Minh,Lương: 20 Tr - 30 Tr VND,10-10-2025,Hôm nay,https://careerviet.vn/vi/tim-viec-lam/ha-noi-ho-chi-minh-ky-su-dien-giam-sat-va-lap-dat-thiet-bi-solar-farm.35C58212.html
35C582C5,Chuyên Gia Thiết Kế Giải Pháp Số,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,Lương: Cạnh tranh,10-10-2025,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-thiet-ke-giai-phap-so.35C582C5.html
35C582C1,Bình Định - Chuyên viên Quan hệ Khách hàng cá nhân,Ngân hàng TMCP Lộc Phát Việt Nam (LPBank),Bình Định,Lương: Cạnh tranh,10-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/binh-dinh-chuyen-vien-quan-he-khach-hang-ca-nhan.35C582C1.html
35C582CE,"Director, Distribution Planning (Techcom Life)",NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM (TECHCOMBANK),Hà Nội,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/director-distribution-planning-techcom-life.35C582CE.html
35C582C7,Chuyên Viên  Sản Phẩm Thanh Toán,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM (VIETCOMBANK),Hà Nội,Lương: Cạnh tranh,10-10-2025,N/A,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-san-pham-thanh-toan.35C582C7.html
35C581FE,Data Scientist,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),Hà Nội,Lương: Cạnh tranh,10-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/data-scientist.35C581FE.html
35C58243,"[Hà Nội, Hồ Chí Minh] Chỉ huy trưởng công trường Solar Farm",Tổng Công ty Cổ phần Công trình Viettel,Hà Nội Hồ Chí Minh,Lương: 30 Tr - 35 Tr VND,10-10-2025,Hôm nay,https://careerviet.vn/vi/tim-viec-lam/ha-noi-ho-chi-minh-chi-huy-truong-cong-truong-solar-farm.35C58243.html
35C58200,Giám đốc Quan hệ Khách hàng Ưu tiên / Cá nhân - Khu vực Hồ Chí Minh,Ngân Hàng TMCP Quốc Dân (NCB),Hồ Chí Minh,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/giam-doc-quan-he-khach-hang-uu-tien-ca-nhan-khu-vuc-ho-chi-minh.35C58200.html
35C582DC,Chuyên Gia – Phân Khúc Và Định Vị Giá Trị Khách Hàng,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội Hồ Chí Minh,Lương: Cạnh tranh,10-10-2025,19-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-gia-phan-khuc-va-dinh-vi-gia-tri-khach-hang.35C582DC.html
