Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
Nhân Viên Kinh Doanh Thị Trường Local Sales Rep (Mới),TCL (Vietnam) Corporation Limited,Hồ Chí Minh Lâm Đồng Bình Thuận,Lương: Cạnh tranh,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-thi-truong-local-sales-rep.35C59B39.html
Nhân Viên Kinh Doanh Thị Trường Local Sales Rep (Mới),TCL (Vietnam) Corporation Limited,Hồ Chí Minh Lâm Đồng Bình Thuận,Lương: Cạnh tranh,01-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-thi-truong-local-sales-rep.35C59B39.html
Bác sĩ Tư vấn Ngân hàng sinh học (Mới),Công ty CP Bệnh Viện Đa Khoa Quốc Tế Vinmec,Hà Nội,Lương: Cạnh tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/bac-si-tu-van-ngan-hang-sinh-hoc.35C59B33.html
Nhân viên bán vé máy bay (Booker) (Mới),Công Ty CP Du lịch và Tiếp Thị GTVT Việt Nam- Vietravel,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,14-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ban-ve-may-bay-booker.35C59B30.html
Kế Toán Trưởng (Lĩnh vực Xây Dựng) (Mới),CÔNG TY CP TẬP ĐOÀN ĐẦU TƯ HOÀNG GIA VIỆT NAM,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-linh-vuc-xay-dung.35C59B29.html
Nhân viên Trực Tổng Đài 24/7 Ngân Hàng MB Bank tại Đống Đa .H2 (Mới),CÔNG TY CỔ PHẦN TRUYỀN THÔNG KIM CƯƠNG,Hà Nội,Lương: 8 Tr - 12 Tr VND,01-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-truc-tong-dai-24-7-ngan-hang-mb-bank-tai-dong-da-h2.35C59B2C.html
NHÂN VIÊN CHẤT LƯỢNG QAQC (R&D BAO BÌ) (Mới),CÔNG TY CỔ PHẦN CHẾ BIẾN THỰC PHẨM HOÀNG SƠN,Bình Dương,Lương: 15 Tr - 17 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-chat-luong-qaqc-r-d-bao-bi.35C598DD.html
Senior 3D Designer (Mới),CREASIA,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/senior-3d-designer.35C5955F.html
CVCC Quản trị hệ thống Nhân sự - Hà Nội - TA163 (Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh tranh,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/cvcc-quan-tri-he-thong-nhan-su-ha-noi-ta163.35C59B28.html
Video Editor (Mới),Medigo Software,Hồ Chí Minh,Lương: 15 Tr - 19 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/video-editor.35C59B27.html
Technical Support Engineer (Site Check) (Mới),Daikin Air Conditioning (Vietnam) Joint Stock Company,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,30-10-2025,https://careerviet.vn/vi/tim-viec-lam/technical-support-engineer-site-check.35C59B25.html
NHÂN VIÊN XUẤT NHẬP KHẨU (Mới),Công ty TNHH Giày Apache Việt Nam,Tiền Giang,"Lương: 6,5 Tr - 9 Tr VND",01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-xuat-nhap-khau.35C59B24.html
Nhân viên kế hoạch sản xuất (Mới),CÔNG TY TNHH TEXON SEMICONDUCTOR TECHNOLOGIES,Bắc Ninh,Lương: 10 Tr - 18 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-ke-hoach-san-xuat.35C59B23.html
Assistant Brand Manager (Product Marketing) (Mới),Công Ty TNHH CJ Foods Việt Nam,Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/assistant-brand-manager-product-marketing.35C59B06.html
Chuyên viên Thiết kế - Truyền thông (Mới),Trường Đại Học Văn Hiến,Hồ Chí Minh,Lương: 10 Tr - 20 Tr VND,01-10-2025,15-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-thiet-ke-truyen-thong.35C59B22.html
Trưởng Phòng Kho (Mới),"Hoang Duc Pharmaceutical & Medical Supplies co, Ltd.",Long An,Lương: Cạnh tranh,01-10-2025,31-12-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-kho.35C59B21.html
Kế Toán Trưởng (Ngành F&B)/ Chief Accountant (F&B Industry) (Mới),MÙA GROUP,Hồ Chí Minh,Lương: 30 Tr - 35 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-truong-nganh-f-b-chief-accountant-f-b-industry.35C59B20.html
Chuyên viên nước cấp (Mới),CÔNG TY TNHH ĐẦU TƯ ITS,Hồ Chí Minh,"Lương: 1,1 Tr - 15 Tr VND",01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-nuoc-cap.35C59B1B.html
CHUYÊN VIÊN HÀNH CHÍNH NHÂN SỰ (Mới),Công ty TNHH SX-TM Thép Tây Nam,Long An,Lương: 8 Tr - 10 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-hanh-chinh-nhan-su.35C59B1E.html
"Điều Dưỡng/ Hộ Sinh / Y Sĩ Lấy Máu Tại Chi Nhánh - Thảo Điền, Quận 2 (Mới)",DIAG,Hồ Chí Minh,Lương: 11 Tr - 13 Tr VND,01-10-2025,26-10-2025,https://careerviet.vn/vi/tim-viec-lam/dieu-duong-ho-sinh-y-si-lay-mau-tai-chi-nhanh-thao-dien-quan-2.35C59B1D.html
Trưởng phòng tuyển dụng (Mới),CÔNG TY LIÊN DOANH VẬN CHUYỂN QUỐC TẾ HẢI VÂN,Hà Nội Hồ Chí Minh,Lương: Cạnh tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/truong-phong-tuyen-dung.35C59B17.html
Chuyên Viên Nhân Sự C&B(Mới),CÔNG TY CỔ PHẦN VUA NỆM,Hà Nội,Lương: 12 Tr - 15 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-nhan-su-c-b.35C59B1A.html
Mechanical Engineer(Mới),CÔNG TY CỔ PHẦN ĐIỆN TỬ  SOJI,Hà Nội,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/mechanical-engineer.35C59B13.html
SENIOR FINANCIAL ANALYST - CONTROLS & REPORTING(Mới),Công ty TNHH AB Mauri Viet Nam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/senior-financial-analyst-controls-reporting.35C59B0A.html
[THANH HOÁ] Nhân Viên Tư Vấn Tuyển Sinh(Mới),MindX Technology School,Thanh Hóa,Lương: 7 Tr - 15 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/thanh-hoa-nhan-vien-tu-van-tuyen-sinh.35C59B18.html
Chuyên viên Kế Toán -  Hỗ trợ Hành chính(Mới),CÔNG TY CỔ PHẦN DI CHUYỂN VÀ THÔNG MINH GSM,Hồ Chí Minh,Lương: 15 Tr - 25 Tr VND,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-ho-tro-hanh-chinh.35C59B14.html
[KCN Xuyên Á] Nhân viên phụ kho Logistics(Mới),Bảo mật,Long An,Lương: 8 Tr - 13 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/kcn-xuyen-a-nhan-vien-phu-kho-logistics.35C59B12.html
Product Manager (Auto Loan)(Mới),LOTTE FINANCE VIETNAM,Hồ Chí Minh Hà Nội,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/product-manager-auto-loan.35C59B10.html
"Chuyên viên Chính/ Cao Cấp Quan hệ khách hàng ưu tiên - Thái Bình, Hải Dương, Hải Phòng, Quảng Ninh, Hưng Yên - TA126(Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hưng Yên Hải Dương Quảng Ninh,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-cao-cap-quan-he-khach-hang-uu-tien-thai-binh-hai-duong-hai-phong-quang-ninh-hung-yen-ta126.35C59B0F.html
Sales Planning Manager (Kênh trả góp)(Mới),LOTTE FINANCE VIETNAM,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/sales-planning-manager-kenh-tra-gop.35C59B0E.html
Kế Toán Ngân Hàng(Mới),Công Ty Cổ Phần ZME,Hà Nội,Lương: 15 Tr - 18 Tr VND,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-ngan-hang.35C59B0C.html
"Chuyên viên chính/ Chuyên viên cao cấp Tư vấn tài chính cá nhân - Hải Phòng, Quảng Ninh (Móng Cái) - TA126(Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hải Phòng Quảng Ninh,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-tu-van-tai-chinh-ca-nhan-hai-phong-quang-ninh-mong-cai-ta126.35C59B0D.html
Chuyên Viên Mua hàng(Mới),CÔNG TY TNHH ĐIỆN TỬ MAKIPOS,Bắc Ninh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-mua-hang.35C59916.html
Warehouse Leader (Quản lý Kho)(Mới),CÔNG TY TNHH ĐIỆN TỬ MAKIPOS,Bắc Ninh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/warehouse-leader-quan-ly-kho.35C59A6A.html
Production Engineering Leader(Mới),CÔNG TY TNHH ĐIỆN TỬ MAKIPOS,Bắc Ninh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/production-engineering-leader.35C59A69.html
Chuyên viên phát triển mặt bằng(Mới),Công Ty TNHH XNK Phát Triển Đông Dương,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,01-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-mat-bang.35C59B0B.html
Coordinator Support (Hardlines Testing) - P.02(Mới),TÜV Rheinland Vietnam,Hồ Chí Minh,Lương: Cạnh Tranh,01-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/coordinator-support-hardlines-testing-p-02.35C59B05.html
"Chuyên viên Chính/ Chuyên viên Cao cấp Bán sản phẩm cho vay - Hải Phòng, Hải Dương, Quảng Ninh - TA 126(Mới)",Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hải Dương Quảng Ninh Hải Phòng,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-ban-san-pham-cho-vay-hai-phong-hai-duong-quang-ninh-ta-126.35C59B09.html
Trưởng Showroom(Mới),Công Ty Cổ Phần Eurowindow,Khánh Hòa Tiền Giang,Lương: Cạnh Tranh,01-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-showroom.35C59B08.html
Chuyên viên Chính/ Chuyên viên Cao cấp Bán sản phẩm cho vay - Địa bàn Hà Nội - TA 126(Mới),Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Lương: Cạnh Tranh,01-10-2025,02-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-ban-san-pham-cho-vay-dia-ban-ha-noi-ta-126.35C59B07.html
Trưởng nhóm quản lý chất lượng(Mới),CÔNG TY TNHH TM SX TÂN HÙNG CƠ,Long An,Lương: 15 Tr - 17 Tr VND,01-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/truong-nhom-quan-ly-chat-luong.35C5997B.html
